chassis_option,engine_option,transmission_option,clutch_option,cooling_option,intake_option,exhaust_option,fuel_option,brakes_option,cabin_option,electrical_option,oil_option,rops_option,steering_option,suspension_front_option,suspension_rear_option,speed_kmh,yaw_deg,CD,CL,CY,CM,notes
CHS-A3,ENG-A3,TRN-A3,CLT-A3,COL-A1,INT-A1,EXH-A2,FUL-A1,BRK-A3,CAB-A1,ELE-A2,OIL-A3,ROPS-A3,STR-A2,SFR-A2,SRR-A3,73.9,2.9,0.5304,0.0773,0.0295,0.0061,
CHS-A3,ENG-A3,TRN-A1,CLT-A3,COL-A1,INT-A2,EXH-A3,FUL-A2,BRK-A3,CAB-A2,ELE-A3,OIL-A3,ROPS-A2,STR-A2,SFR-A2,SRR-A1,90.3,2.6,0.5352,0.0878,0.0371,0.0043,
CHS-A3,ENG-A3,TRN-A2,CLT-A2,COL-A2,INT-A3,EXH-A3,FUL-A2,BRK-A2,CAB-A3,ELE-A1,OIL-A2,NONE,STR-A1,SFR-A2,SRR-A3,102.7,-0.6,0.5169,0.0831,-0.0026,0.0012,
CHS-A2,ENG-A2,TRN-A2,CLT-A3,COL-A3,INT-A2,EXH-A3,FUL-A1,BRK-A3,NONE,ELE-A1,OIL-A1,ROPS-A3,STR-A2,SFR-A3,SRR-A1,108.3,-0.3,0.3442,-0.0135,-0.0022,0.005,
CHS-A2,ENG-A3,TRN-A3,CLT-A2,COL-A2,INT-A3,EXH-A3,FUL-A2,BRK-A2,NONE,ELE-A3,OIL-A2,ROPS-A2,STR-A2,SFR-A2,SRR-A2,77.6,0.5,0.3347,-0.0399,0.0024,0.0025,
CHS-A2,ENG-A2,TRN-A3,CLT-A3,COL-A3,INT-A3,EXH-A2,FUL-A1,BRK-A1,CAB-A2,ELE-A2,OIL-A1,ROPS-A2,STR-A3,SFR-A3,SRR-A1,79.2,1.6,0.4828,0.0748,0.0161,0.0087,
CHS-A1,ENG-A3,TRN-A2,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A1,BRK-A1,CAB-A1,ELE-A2,OIL-A1,ROPS-A3,STR-A2,SFR-A2,SRR-A1,100.4,-10.4,0.5435,0.0979,-0.1572,-0.0396,
CHS-A3,ENG-A2,TRN-A3,CLT-A3,COL-A3,INT-A1,EXH-A3,FUL-A2,BRK-A2,NONE,ELE-A2,OIL-A3,NONE,STR-A2,SFR-A3,SRR-A3,64.2,-12.0,0.3501,-0.0169,-0.0458,-0.0105,
CHS-A1,ENG-A1,TRN-A3,CLT-A1,COL-A1,INT-A1,EXH-A2,FUL-A2,BRK-A3,CAB-A3,ELE-A2,OIL-A1,ROPS-A1,STR-A3,SFR-A2,SRR-A3,120.2,1.2,0.4225,0.0866,0.0079,-0.0033,
CHS-A1,ENG-A2,TRN-A1,CLT-A3,COL-A1,INT-A3,EXH-A1,FUL-A2,BRK-A1,CAB-A1,ELE-A1,OIL-A2,ROPS-A3,STR-A3,SFR-A2,SRR-A2,68.7,6.0,0.5107,0.0768,0.0678,0.021,
CHS-A1,ENG-A2,TRN-A3,CLT-A2,COL-A3,INT-A2,EXH-A1,FUL-A1,BRK-A1,NONE,ELE-A3,OIL-A3,NONE,STR-A3,SFR-A2,SRR-A3,62.8,-0.9,0.2991,-0.0478,-0.0006,0.0037,
CHS-A3,ENG-A2,TRN-A1,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A2,BRK-A3,CAB-A1,ELE-A1,OIL-A2,ROPS-A2,STR-A2,SFR-A2,SRR-A3,126.2,1.5,0.5286,0.0925,0.0114,0.0149,
CHS-A2,ENG-A3,TRN-A1,CLT-A3,COL-A3,INT-A2,EXH-A2,FUL-A1,BRK-A1,CAB-A2,ELE-A3,OIL-A2,ROPS-A3,STR-A1,SFR-A1,SRR-A2,98.4,-1.9,0.5218,0.0806,-0.0182,-0.0087,
CHS-A1,ENG-A3,TRN-A1,CLT-A2,COL-A3,INT-A1,EXH-A3,FUL-A2,BRK-A1,CAB-A1,ELE-A1,OIL-A2,NONE,STR-A3,SFR-A1,SRR-A2,125.3,-0.9,0.4142,0.0524,-0.0032,-0.0034,
CHS-A1,ENG-A3,TRN-A3,CLT-A3,COL-A1,INT-A1,EXH-A2,FUL-A2,BRK-A2,NONE,ELE-A3,OIL-A2,ROPS-A3,STR-A2,SFR-A3,SRR-A2,118.6,0.4,0.343,-0.0164,-0.0029,0.0026,
CHS-A2,ENG-A3,TRN-A3,CLT-A2,COL-A2,INT-A2,EXH-A1,FUL-A3,BRK-A1,CAB-A3,ELE-A1,OIL-A2,ROPS-A1,STR-A3,SFR-A2,SRR-A3,123.9,5.3,0.4767,0.0815,0.0347,0.0136,
CHS-A3,ENG-A2,TRN-A1,CLT-A2,COL-A1,INT-A3,EXH-A2,FUL-A1,BRK-A3,CAB-A1,ELE-A3,OIL-A1,ROPS-A1,STR-A2,SFR-A2,SRR-A3,108.5,10.6,0.4854,0.089,0.0557,0.0173,
CHS-A1,ENG-A2,TRN-A1,CLT-A3,COL-A2,INT-A1,EXH-A1,FUL-A2,BRK-A1,CAB-A2,ELE-A2,OIL-A2,ROPS-A1,STR-A3,SFR-A2,SRR-A3,107.7,1.8,0.4356,0.0836,-0.0001,0.0063,
CHS-A2,ENG-A3,TRN-A1,CLT-A1,COL-A2,INT-A3,EXH-A2,FUL-A2,BRK-A2,CAB-A3,ELE-A2,OIL-A2,ROPS-A3,STR-A1,SFR-A1,SRR-A2,126.2,-6.0,0.5367,0.0942,-0.0821,-0.0222,
CHS-A2,ENG-A2,TRN-A1,CLT-A1,COL-A2,INT-A3,EXH-A2,FUL-A3,BRK-A2,NONE,ELE-A2,OIL-A1,NONE,STR-A3,SFR-A2,SRR-A2,60.6,8.3,0.3148,-0.0397,0.0335,0.0023,
CHS-A2,ENG-A1,TRN-A3,CLT-A2,COL-A1,INT-A3,EXH-A1,FUL-A3,BRK-A2,CAB-A3,ELE-A3,OIL-A3,ROPS-A3,STR-A1,SFR-A3,SRR-A1,123.2,-5.7,0.4726,0.1048,-0.0733,-0.0234,
CHS-A2,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A1,EXH-A1,FUL-A3,BRK-A2,CAB-A2,ELE-A2,OIL-A1,ROPS-A1,STR-A2,SFR-A2,SRR-A3,120.9,-1.0,0.405,0.0769,-0.0023,0.0047,
CHS-A3,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A2,EXH-A1,FUL-A2,BRK-A3,CAB-A1,ELE-A2,OIL-A3,ROPS-A3,STR-A2,SFR-A3,SRR-A2,117.6,-11.7,0.5704,0.1087,-0.1506,-0.0492,
CHS-A3,ENG-A1,TRN-A3,CLT-A1,COL-A3,INT-A2,EXH-A3,FUL-A2,BRK-A3,CAB-A2,ELE-A1,OIL-A1,NONE,STR-A2,SFR-A2,SRR-A1,66.8,-10.9,0.4901,0.0772,-0.0898,-0.0363,
CHS-A2,ENG-A3,TRN-A3,CLT-A3,COL-A1,INT-A2,EXH-A3,FUL-A1,BRK-A2,CAB-A3,ELE-A2,OIL-A1,ROPS-A3,STR-A1,SFR-A2,SRR-A2,126.5,-12.0,0.5394,0.0998,-0.1725,-0.0528,
CHS-A2,ENG-A2,TRN-A1,CLT-A1,COL-A2,INT-A1,EXH-A3,FUL-A1,BRK-A3,CAB-A3,ELE-A1,OIL-A1,ROPS-A3,STR-A1,SFR-A1,SRR-A3,74.4,1.6,0.4573,0.0747,0.0194,0.0124,
CHS-A3,ENG-A1,TRN-A2,CLT-A1,COL-A1,INT-A3,EXH-A2,FUL-A1,BRK-A1,CAB-A3,ELE-A1,OIL-A1,ROPS-A1,STR-A1,SFR-A3,SRR-A2,61.1,2.2,0.4642,0.076,0.0174,0.0012,
CHS-A3,ENG-A1,TRN-A2,CLT-A3,COL-A1,INT-A3,EXH-A1,FUL-A3,BRK-A3,CAB-A2,ELE-A2,OIL-A3,NONE,STR-A1,SFR-A2,SRR-A2,89.8,0.9,0.4466,0.0616,0.0093,-0.0005,
CHS-A1,ENG-A1,TRN-A1,CLT-A2,COL-A3,INT-A3,EXH-A3,FUL-A3,BRK-A3,CAB-A2,ELE-A3,OIL-A3,ROPS-A2,STR-A3,SFR-A3,SRR-A2,66.9,10.6,0.5407,0.0802,0.1298,0.0354,
CHS-A2,ENG-A1,TRN-A2,CLT-A2,COL-A2,INT-A2,EXH-A2,FUL-A3,BRK-A1,CAB-A2,ELE-A2,OIL-A3,ROPS-A1,STR-A1,SFR-A3,SRR-A2,64.7,-12.2,0.4956,0.0825,-0.0971,-0.0343,
CHS-A2,ENG-A1,TRN-A3,CLT-A3,COL-A1,INT-A1,EXH-A3,FUL-A2,BRK-A1,CAB-A3,ELE-A2,OIL-A3,ROPS-A2,STR-A2,SFR-A3,SRR-A1,116.5,14.2,0.4668,0.0898,0.1498,0.0438,
CHS-A3,ENG-A3,TRN-A2,CLT-A1,COL-A1,INT-A2,EXH-A3,FUL-A2,BRK-A2,CAB-A2,ELE-A1,OIL-A1,ROPS-A2,STR-A2,SFR-A1,SRR-A1,111.9,-12.2,0.5386,0.0947,-0.1576,-0.0451,
CHS-A2,ENG-A3,TRN-A2,CLT-A3,COL-A3,INT-A1,EXH-A1,FUL-A1,BRK-A1,CAB-A3,ELE-A1,OIL-A3,ROPS-A1,STR-A2,SFR-A3,SRR-A2,94.0,-0.7,0.4407,0.0762,0.0011,-0.0022,
CHS-A2,ENG-A3,TRN-A3,CLT-A2,COL-A1,INT-A1,EXH-A2,FUL-A3,BRK-A1,CAB-A1,ELE-A2,OIL-A1,ROPS-A3,STR-A2,SFR-A2,SRR-A2,68.4,4.4,0.474,0.0731,0.043,0.0135,
CHS-A3,ENG-A3,TRN-A2,CLT-A1,COL-A2,INT-A3,EXH-A1,FUL-A2,BRK-A1,CAB-A2,ELE-A1,OIL-A2,ROPS-A3,STR-A3,SFR-A2,SRR-A3,104.8,-6.5,0.5788,0.1128,-0.0655,-0.0294,
CHS-A2,ENG-A1,TRN-A2,CLT-A1,COL-A1,INT-A2,EXH-A3,FUL-A2,BRK-A3,CAB-A1,ELE-A2,OIL-A3,ROPS-A2,STR-A2,SFR-A1,SRR-A1,95.7,1.1,0.4179,0.0635,0.008,0.0093,
CHS-A3,ENG-A1,TRN-A1,CLT-A1,COL-A1,INT-A2,EXH-A1,FUL-A1,BRK-A3,CAB-A1,ELE-A3,OIL-A1,ROPS-A1,STR-A3,SFR-A2,SRR-A2,112.8,-1.5,0.4472,0.0648,-0.0153,-0.0072,
CHS-A3,ENG-A2,TRN-A1,CLT-A2,COL-A1,INT-A2,EXH-A2,FUL-A3,BRK-A2,CAB-A3,ELE-A3,OIL-A1,ROPS-A2,STR-A1,SFR-A2,SRR-A2,91.6,0.6,0.5286,0.1012,-0.0011,-0.0013,
CHS-A2,ENG-A3,TRN-A3,CLT-A3,COL-A1,INT-A2,EXH-A3,FUL-A3,BRK-A1,CAB-A2,ELE-A2,OIL-A3,ROPS-A1,STR-A1,SFR-A2,SRR-A1,116.8,14.5,0.4714,0.0908,0.1224,0.0414,
CHS-A2,ENG-A3,TRN-A3,CLT-A3,COL-A1,INT-A2,EXH-A2,FUL-A2,BRK-A2,CAB-A2,ELE-A2,OIL-A3,ROPS-A3,STR-A3,SFR-A3,SRR-A2,64.6,1.1,0.5354,0.0784,0.0148,-0.001,
CHS-A3,ENG-A1,TRN-A2,CLT-A1,COL-A3,INT-A3,EXH-A1,FUL-A2,BRK-A2,NONE,ELE-A3,OIL-A3,ROPS-A2,STR-A3,SFR-A3,SRR-A1,81.7,1.4,0.3299,-0.0228,0.0021,0.003,
CHS-A3,ENG-A1,TRN-A3,CLT-A3,COL-A2,INT-A3,EXH-A2,FUL-A1,BRK-A2,CAB-A2,ELE-A1,OIL-A2,NONE,STR-A2,SFR-A1,SRR-A1,130.0,-4.6,0.4343,0.0896,-0.0358,-0.0091,
CHS-A3,ENG-A3,TRN-A1,CLT-A3,COL-A2,INT-A3,EXH-A1,FUL-A3,BRK-A2,CAB-A1,ELE-A1,OIL-A3,ROPS-A3,STR-A1,SFR-A3,SRR-A2,63.1,-1.5,0.5339,0.0714,-0.0248,-0.0048,
CHS-A1,ENG-A2,TRN-A2,CLT-A1,COL-A2,INT-A3,EXH-A3,FUL-A2,BRK-A2,CAB-A3,ELE-A2,OIL-A3,ROPS-A2,STR-A1,SFR-A1,SRR-A3,69.7,-2.1,0.4999,0.0697,-0.0273,-0.008,
CHS-A3,ENG-A1,TRN-A2,CLT-A1,COL-A1,INT-A2,EXH-A2,FUL-A3,BRK-A1,CAB-A3,ELE-A1,OIL-A1,ROPS-A3,STR-A2,SFR-A1,SRR-A2,63.7,0.9,0.5467,0.0863,0.0137,0.0107,
CHS-A3,ENG-A2,TRN-A1,CLT-A1,COL-A1,INT-A2,EXH-A2,FUL-A3,BRK-A1,CAB-A3,ELE-A2,OIL-A2,ROPS-A3,STR-A1,SFR-A1,SRR-A2,75.1,-2.4,0.557,0.0878,-0.0431,-0.0069,
CHS-A1,ENG-A2,TRN-A1,CLT-A1,COL-A1,INT-A2,EXH-A3,FUL-A3,BRK-A2,CAB-A1,ELE-A2,OIL-A3,ROPS-A2,STR-A3,SFR-A3,SRR-A3,76.9,-3.7,0.533,0.0841,-0.0428,-0.0151,
CHS-A2,ENG-A1,TRN-A3,CLT-A3,COL-A3,INT-A3,EXH-A3,FUL-A1,BRK-A2,NONE,ELE-A1,OIL-A3,ROPS-A2,STR-A2,SFR-A2,SRR-A3,61.1,-4.7,0.3136,-0.0238,-0.0527,-0.0118,
CHS-A2,ENG-A1,TRN-A1,CLT-A2,COL-A3,INT-A2,EXH-A3,FUL-A1,BRK-A3,CAB-A2,ELE-A3,OIL-A2,ROPS-A3,STR-A1,SFR-A1,SRR-A3,114.3,-4.8,0.51,0.0969,-0.0681,-0.0192,
CHS-A2,ENG-A3,TRN-A2,CLT-A3,COL-A2,INT-A2,EXH-A1,FUL-A3,BRK-A1,CAB-A2,ELE-A1,OIL-A3,ROPS-A2,STR-A1,SFR-A2,SRR-A2,122.3,11.8,0.5123,0.1114,0.1303,0.0412,
CHS-A3,ENG-A2,TRN-A1,CLT-A3,COL-A2,INT-A1,EXH-A2,FUL-A3,BRK-A1,CAB-A2,ELE-A2,OIL-A1,ROPS-A1,STR-A3,SFR-A2,SRR-A2,91.2,-10.0,0.4672,0.081,-0.0479,-0.0234,
CHS-A3,ENG-A2,TRN-A2,CLT-A3,COL-A1,INT-A1,EXH-A3,FUL-A3,BRK-A2,CAB-A2,ELE-A3,OIL-A3,ROPS-A1,STR-A1,SFR-A1,SRR-A3,107.5,1.5,0.446,0.0681,0.0026,0.0032,
CHS-A1,ENG-A3,TRN-A2,CLT-A2,COL-A2,INT-A2,EXH-A1,FUL-A3,BRK-A1,CAB-A2,ELE-A2,OIL-A2,ROPS-A3,STR-A1,SFR-A1,SRR-A1,111.5,-0.2,0.5115,0.094,-0.0029,0.0023,
CHS-A2,ENG-A1,TRN-A3,CLT-A2,COL-A3,INT-A2,EXH-A1,FUL-A1,BRK-A1,CAB-A3,ELE-A2,OIL-A1,NONE,STR-A2,SFR-A1,SRR-A3,127.7,5.0,0.4231,0.0713,0.0322,0.0139,
CHS-A1,ENG-A3,TRN-A3,CLT-A3,COL-A3,INT-A1,EXH-A2,FUL-A3,BRK-A1,CAB-A1,ELE-A1,OIL-A1,ROPS-A1,STR-A2,SFR-A1,SRR-A2,98.8,1.3,0.4224,0.0532,0.0034,-0.0041,
CHS-A3,ENG-A2,TRN-A3,CLT-A2,COL-A2,INT-A3,EXH-A1,FUL-A1,BRK-A2,CAB-A3,ELE-A2,OIL-A2,ROPS-A3,STR-A2,SFR-A1,SRR-A3,104.8,11.0,0.5662,0.107,0.1324,0.0389,
CHS-A1,ENG-A3,TRN-A1,CLT-A2,COL-A1,INT-A1,EXH-A2,FUL-A3,BRK-A1,CAB-A2,ELE-A3,OIL-A2,ROPS-A3,STR-A2,SFR-A1,SRR-A3,126.9,-2.9,0.4995,0.1063,-0.0263,-0.0138,
CHS-A1,ENG-A3,TRN-A3,CLT-A3,COL-A3,INT-A2,EXH-A3,FUL-A1,BRK-A1,CAB-A1,ELE-A3,OIL-A3,ROPS-A1,STR-A1,SFR-A3,SRR-A2,103.3,-2.2,0.496,0.0637,-0.0216,-0.008,
CHS-A1,ENG-A3,TRN-A2,CLT-A2,COL-A2,INT-A1,EXH-A3,FUL-A1,BRK-A1,CAB-A2,ELE-A2,OIL-A2,ROPS-A1,STR-A3,SFR-A1,SRR-A2,120.3,2.8,0.4291,0.0598,0.0192,0.0023,
CHS-A1,ENG-A2,TRN-A1,CLT-A2,COL-A2,INT-A1,EXH-A1,FUL-A1,BRK-A1,CAB-A2,ELE-A2,OIL-A3,ROPS-A2,STR-A1,SFR-A2,SRR-A3,110.5,-0.1,0.4725,0.1095,-0.0129,0.0014,
CHS-A2,ENG-A1,TRN-A1,CLT-A2,COL-A3,INT-A2,EXH-A1,FUL-A1,BRK-A3,CAB-A2,ELE-A1,OIL-A2,ROPS-A2,STR-A3,SFR-A3,SRR-A2,80.0,1.3,0.4894,0.0808,0.0216,0.0037,
CHS-A1,ENG-A3,TRN-A3,CLT-A1,COL-A2,INT-A3,EXH-A2,FUL-A1,BRK-A2,CAB-A2,ELE-A3,OIL-A2,ROPS-A3,STR-A3,SFR-A3,SRR-A3,68.3,-3.2,0.5724,0.096,-0.0484,-0.0064,
CHS-A1,ENG-A3,TRN-A3,CLT-A2,COL-A3,INT-A1,EXH-A1,FUL-A1,BRK-A1,CAB-A3,ELE-A2,OIL-A3,ROPS-A2,STR-A3,SFR-A3,SRR-A1,83.0,-10.1,0.5117,0.1063,-0.0943,-0.0294,
CHS-A3,ENG-A3,TRN-A2,CLT-A3,COL-A3,INT-A2,EXH-A2,FUL-A1,BRK-A2,CAB-A2,ELE-A1,OIL-A2,ROPS-A3,STR-A3,SFR-A3,SRR-A3,61.9,2.6,0.6211,0.0939,0.0396,0.006,
CHS-A3,ENG-A1,TRN-A3,CLT-A2,COL-A1,INT-A3,EXH-A3,FUL-A3,BRK-A3,CAB-A3,ELE-A2,OIL-A1,ROPS-A3,STR-A1,SFR-A1,SRR-A3,126.4,2.6,0.5187,0.1122,0.0422,0.0045,
CHS-A2,ENG-A3,TRN-A3,CLT-A1,COL-A3,INT-A1,EXH-A3,FUL-A1,BRK-A3,CAB-A2,ELE-A3,OIL-A2,ROPS-A2,STR-A2,SFR-A1,SRR-A2,123.8,2.8,0.4587,0.0916,0.0253,0.0025,
CHS-A3,ENG-A2,TRN-A3,CLT-A2,COL-A1,INT-A1,EXH-A2,FUL-A3,BRK-A2,CAB-A1,ELE-A2,OIL-A2,ROPS-A3,STR-A3,SFR-A3,SRR-A2,82.2,4.9,0.5191,0.0872,0.058,0.0144,
CHS-A2,ENG-A2,TRN-A1,CLT-A2,COL-A1,INT-A2,EXH-A3,FUL-A1,BRK-A2,NONE,ELE-A3,OIL-A2,ROPS-A3,STR-A1,SFR-A1,SRR-A3,79.0,-2.6,0.3347,-0.0119,-0.0311,-0.0118,
CHS-A1,ENG-A3,TRN-A3,CLT-A1,COL-A3,INT-A1,EXH-A1,FUL-A1,BRK-A2,CAB-A2,ELE-A2,OIL-A1,ROPS-A3,STR-A1,SFR-A1,SRR-A3,128.5,-3.5,0.4896,0.0861,-0.0329,-0.0104,
CHS-A2,ENG-A3,TRN-A1,CLT-A1,COL-A3,INT-A3,EXH-A1,FUL-A3,BRK-A3,CAB-A3,ELE-A1,OIL-A1,ROPS-A2,STR-A1,SFR-A1,SRR-A2,115.2,-2.5,0.4919,0.0682,-0.0263,-0.0069,
CHS-A2,ENG-A3,TRN-A3,CLT-A1,COL-A2,INT-A2,EXH-A2,FUL-A3,BRK-A3,CAB-A2,ELE-A1,OIL-A3,ROPS-A2,STR-A1,SFR-A1,SRR-A2,71.4,-0.1,0.5137,0.0688,-0.0118,-0.0065,
