length_mm,width_mm,thickness_mm,fillet_mm,hole_dia_mm,force_N,force_angle_deg,youngs_modulus_GPa,yield_strength_MPa,peak_vm_stress_MPa,peak_disp_mm
134.9943,59.9382,15.9532,2.7326,2.9842,3617.0120,25.9956,193.3210,815.4892,267.465,0.7663
180.0494,48.1416,11.3401,11.8723,9.1557,395.1883,19.0262,111.9130,664.3721,67.010,1.1672
93.8514,24.2814,10.6387,4.7235,8.4676,1993.2806,-17.7842,158.7933,384.7887,464.643,1.4263
181.5324,23.6919,9.0829,4.7668,0.0496,778.8401,8.2268,106.6737,718.8616,572.082,9.7415
81.1604,23.0098,14.5973,11.0393,7.6383,4000.0000,4.9506,90.7331,289.2119,637.230,1.3962
175.5347,54.4281,14.7871,4.1008,3.4934,1292.4781,16.8070,193.7789,484.4642,140.521,0.8102
191.5857,54.5842,15.7145,10.1077,12.3398,903.7484,14.1939,116.5060,851.5711,83.676,0.9717
177.2899,30.6722,13.4485,3.0810,12.2103,2481.5696,-16.6540,184.3221,522.2123,685.398,4.2246
107.3115,20.9466,6.3176,5.2826,12.1009,685.1000,-13.2525,159.8074,479.7749,672.963,3.9947
192.7085,24.6137,15.6448,3.7857,13.4755,1001.3179,-23.4958,130.8389,709.9815,300.980,2.4121
141.3708,35.4078,10.9191,4.5472,9.9230,328.6058,25.5345,145.3833,703.6010,78.776,0.5294
123.7066,22.7990,11.9709,5.3020,4.3948,2072.2786,13.1853,112.0451,416.4993,524.103,3.6403
115.4786,25.0915,9.0454,11.4036,9.4825,1472.5716,6.9309,112.1330,583.5560,708.168,4.3564
131.5866,43.1994,11.8565,6.6499,6.1902,1287.7721,-1.6088,196.1653,757.2173,297.824,0.8401
141.8542,45.3176,8.0223,10.1842,10.5159,1326.0683,-16.5216,97.8782,217.0978,363.314,6.8367
181.9685,22.9131,8.9733,8.2977,2.7221,672.9817,-0.3374,104.1578,659.2406,670.893,9.4227
172.4055,24.2635,9.1018,3.7589,13.4115,608.0748,-26.9869,104.8878,793.8354,416.185,6.5902
160.1093,59.5157,11.1454,11.5004,12.4800,2756.8495,13.1564,140.6689,781.3984,324.830,3.8308
169.2387,38.9870,7.1103,4.4724,8.9273,837.5316,1.2780,157.7448,392.2182,782.557,7.4301
112.6058,32.7884,10.4818,3.3837,3.2377,2117.3312,12.3851,78.9920,485.3196,463.780,4.0209
104.8201,36.8057,14.8581,7.8408,9.7373,4000.0000,15.9357,123.2533,204.1273,338.459,1.2883
182.4138,58.1372,9.0283,9.4752,7.6459,1531.5259,-16.7677,100.7190,505.0852,342.460,8.6719
161.4970,36.1727,5.9805,6.6739,1.7868,484.4339,-28.3820,125.1628,595.0744,348.552,8.4892
96.2839,38.4679,4.6034,5.7910,2.9632,312.6054,15.6738,123.0777,726.4069,202.693,2.3685
89.8287,20.7753,10.4730,11.9991,4.8994,1590.3539,16.8740,161.2457,727.9632,366.514,1.1908
82.4456,26.0953,5.5147,8.6946,7.8956,271.8630,11.9679,177.3657,317.4524,151.514,0.7607
93.7439,52.7720,15.5766,3.0810,0.3595,4000.0000,10.6408,204.1442,477.6581,238.628,0.3200
162.8737,45.0897,5.2228,9.7248,11.9041,443.4905,-22.7367,207.7382,747.8447,308.312,5.8930
124.4685,40.2384,8.0948,10.4958,11.5126,408.4557,27.6473,158.9819,780.0951,109.482,0.8998
168.0554,58.6189,7.2410,10.0820,7.5344,903.6270,-3.8655,172.3437,387.8769,434.006,4.2698
90.3995,55.2652,6.9264,6.6471,8.5446,1204.7987,-28.2780,189.1334,327.2879,240.532,1.0785
120.8407,55.2128,12.4142,4.7627,0.1421,4000.0000,-24.8632,170.8105,542.0045,391.746,1.4930
157.5083,39.6329,13.5152,2.9305,3.1023,3034.0266,-11.6276,151.4178,531.2823,509.382,3.1815
169.5123,33.2317,12.4343,4.7092,3.5197,620.9697,-18.4449,86.7377,575.1048,142.854,2.1415
105.9662,39.3679,12.6950,11.7661,7.3449,2001.4528,-23.9684,97.1765,359.2382,196.648,1.2226
144.0962,30.9725,15.6915,7.5336,9.7638,1107.9847,22.1077,138.7230,810.9038,143.285,0.7867
132.8563,27.3745,4.6165,11.4106,6.6882,335.4987,-5.9576,80.3715,640.6120,576.386,14.6199
147.5408,32.1534,15.9270,3.1845,10.7022,3272.6547,17.4444,101.5962,565.8008,505.633,3.2172
183.2200,59.6013,7.6646,8.2103,8.5348,1335.0560,26.8554,99.0903,347.7176,391.094,12.1686
100.8576,23.0026,4.0321,6.5050,8.3134,200.0000,-16.1114,168.9738,692.0913,295.146,3.2632
190.8693,51.5131,11.5007,8.6118,13.0714,1597.7004,2.6737,160.6689,835.8880,457.672,3.4936
99.9107,32.3045,12.9875,7.6921,4.0405,1133.4036,11.3207,167.9627,859.8734,126.840,0.3804
89.6530,21.5944,9.1843,5.2232,3.5052,368.7497,27.7147,187.0342,602.6394,129.907,0.3275
160.6738,30.7804,4.4828,9.5627,6.5870,241.7656,24.9644,95.4085,609.7307,315.483,14.7665
90.9491,33.9184,7.9997,8.7013,12.0083,886.8301,11.6204,110.3505,861.6355,230.018,1.3441
134.5791,32.5807,7.8793,11.7018,5.6585,779.8733,29.2872,162.0725,579.8155,274.499,2.9732
123.4135,50.2577,11.5049,9.5999,2.8498,2945.6420,25.6604,131.3363,688.7750,337.882,2.3263
153.0646,29.5719,5.9005,7.5084,7.7315,200.0000,29.5354,197.8102,523.0135,176.183,2.4784
139.8051,48.6641,10.1065,4.7342,11.6861,3164.4557,-15.3761,147.1771,468.5102,631.343,4.5994
185.5192,54.5611,7.3150,9.9001,5.8092,1342.9655,0.4643,184.8769,397.9873,755.972,9.0179
199.8683,39.5856,5.7831,7.3858,4.8317,363.4135,2.6058,133.7482,425.2441,495.251,11.8210
148.6157,29.3425,13.3065,2.4365,10.4259,2345.1853,18.6845,124.0510,664.5822,634.431,3.3169
139.4394,21.4808,10.0275,7.9018,12.1758,1247.7353,-3.5816,143.6332,519.8497,944.767,4.2176
158.5738,26.1744,9.6339,11.6920,4.7399,1012.4025,8.9902,189.2471,796.6389,448.900,3.5631
117.9993,48.7487,13.1128,10.7238,0.5026,1159.5412,7.8697,198.9301,898.1981,124.585,0.3374
91.8132,45.3499,14.4710,6.4368,9.7160,4000.0000,-27.2405,181.4601,405.3574,263.449,0.5025
143.7400,42.6371,13.5102,3.6998,1.1056,4000.0000,7.1826,103.7162,838.9803,769.203,4.4712
110.4773,30.2131,4.1128,10.0463,12.6169,300.1338,-20.5215,131.8422,441.8959,346.425,5.7109
130.9171,30.0039,14.1436,3.9922,5.3857,2264.1742,-15.7677,150.0692,602.3684,384.709,1.5933
197.3533,46.3292,7.2938,7.6593,9.6012,877.0397,-27.0573,154.8969,547.7091,413.556,9.5490
175.8632,44.2826,8.2279,8.3662,8.6925,1106.2094,13.2557,162.2854,786.8360,358.618,5.7311
157.5609,32.3573,9.2899,7.7957,10.2530,319.9781,-12.2934,174.6473,322.9480,116.391,1.1355
196.5787,41.2341,14.9618,10.3047,3.5976,3597.0897,-1.0891,182.9084,722.5915,768.349,4.3814
195.5472,25.6303,15.5980,10.6014,10.1390,2837.5045,28.0362,182.6423,456.0425,608.543,4.7542
144.3887,38.1914,12.0739,8.7234,8.1838,2946.8903,26.4175,85.1685,363.6753,504.270,6.2582
147.3689,56.6102,6.6564,2.6322,11.5340,1418.7662,-11.8686,127.1614,297.8439,602.571,8.4825
139.1150,23.8877,14.6471,3.3566,6.3510,2369.2477,14.5884,202.4364,493.3887,530.320,1.6499
129.7861,23.9609,9.8722,6.0812,13.3213,242.4960,-7.7682,132.0736,865.3886,138.066,0.6889
162.2816,41.7786,15.7341,5.5867,5.5740,1657.0278,-22.6704,188.7246,518.3022,180.618,0.8885
151.6575,20.8543,13.4415,4.4357,1.7629,1388.1130,-25.8834,177.1220,345.0102,405.809,2.2868
119.4271,25.9022,14.8064,2.0284,12.0177,1065.1973,-22.2005,105.0916,322.1480,235.047,0.8166
81.7832,51.5994,6.8552,5.2377,2.4394,446.1157,14.5031,143.6520,721.9657,84.767,0.4119
141.5886,24.3622,10.0461,11.4542,0.6071,1272.8807,22.0189,143.0032,520.6298,407.348,4.0818
137.4778,36.0647,12.2332,6.9027,12.7358,656.6881,-25.1526,155.1616,245.9776,115.333,0.6942
145.8028,33.0074,15.9355,7.3056,6.3520,3399.1770,-24.0493,168.2491,796.9549,390.079,1.7970
166.5008,28.6009,9.4187,4.2849,4.7450,716.4837,-5.0406,83.3120,498.7348,475.655,6.4783
98.3167,56.9194,4.8056,10.3177,1.3052,248.2354,14.3278,183.6477,589.4595,89.017,0.7972
119.5575,24.8893,8.2432,8.6534,10.5040,1132.5793,13.2636,205.5758,620.2871,498.458,2.7869
105.5287,46.2695,6.6909,3.0822,11.8352,788.4556,15.7563,150.3740,765.0550,291.663,1.6589
178.2112,44.5429,11.7124,2.2625,13.0072,2639.6514,-13.9531,95.2583,691.8891,665.279,8.9892
80.7327,54.7945,10.7959,6.0078,1.9862,4000.0000,-28.1606,174.4556,350.5930,312.736,0.7092
124.4064,48.8638,13.3220,7.6759,1.1894,1050.0204,-20.5554,156.4973,671.7781,94.110,0.4669
138.2794,37.6818,7.2780,9.5494,1.5934,651.5396,-13.0052,164.9881,540.6429,241.348,2.8523
127.4316,43.9730,4.0922,5.0142,2.9573,200.0000,-14.6688,115.9371,205.4109,188.469,4.6500
125.6249,48.1469,10.0031,10.3335,11.2868,637.1746,21.7059,75.9223,213.1191,102.177,1.3418
149.0911,42.9360,12.5140,6.1769,1.6124,565.1752,-10.5139,182.1851,632.6877,86.065,0.4601
90.5756,53.7794,6.9198,7.8887,7.3355,1205.9325,-11.3835,117.5319,433.1480,240.835,1.7649
93.6832,40.3981,14.8711,5.4938,10.1833,4000.0000,18.9022,103.0776,302.5110,309.997,0.9976
171.2258,46.2204,6.1258,9.7285,6.9176,719.2527,15.5926,132.8467,846.9080,360.767,10.0607
154.9426,54.5699,11.5266,3.5096,0.9560,2158.0226,-11.8308,108.4543,239.3205,326.742,3.5384
134.2297,22.2756,13.9804,2.7673,12.0995,2563.8506,6.9005,140.9895,523.8982,1046.374,2.8388
187.5052,37.9893,13.7178,8.5184,4.5014,1859.8447,-20.9483,78.6623,272.4513,311.861,6.2540
165.7179,40.1820,6.0707,4.4774,6.1286,410.1234,1.3649,92.2245,460.9964,459.274,9.2762
120.6041,43.9154,13.4707,8.4731,0.9228,1215.9547,10.7028,109.7806,706.6136,109.446,0.6847
184.7936,33.3345,10.9929,3.4143,4.8975,1918.3848,11.9088,124.8741,616.5289,663.253,8.6711
125.2015,51.6665,13.7582,8.7012,11.6054,4000.0000,11.1249,143.6951,652.2174,319.967,1.6455
123.5117,27.2105,6.5703,11.4767,6.8078,275.1118,-21.7461,80.8031,791.0999,161.837,3.4265
180.2144,55.3473,4.4530,5.3676,10.7283,200.0000,-7.3968,92.7146,781.9415,249.928,9.7747
99.8647,37.5069,8.9303,8.7636,3.3254,1386.0997,-12.9043,174.7951,514.2496,256.476,1.1762
177.0349,38.7606,14.0214,5.6784,13.2598,3845.5223,-2.2992,109.4480,467.3107,1002.323,7.2004
178.0269,52.0504,5.6608,4.5000,8.9765,754.6274,3.2724,84.3626,792.1246,789.538,20.0000
171.5740,30.9117,14.8637,3.4735,6.1246,3435.3868,-16.6777,133.1579,444.7096,698.593,5.1433
140.2409,29.4311,15.9343,5.7491,0.3946,4000.0000,20.3506,160.9945,753.9664,532.440,2.3453
179.5714,47.8429,5.6655,9.0554,6.2804,200.0000,-25.2465,105.8293,784.4742,117.363,4.9576
143.3326,24.4475,7.4572,5.0115,0.6685,420.5126,17.6339,133.9959,277.6005,278.940,3.5633
81.9722,40.6150,6.9033,3.4358,6.0093,1413.7799,-15.5661,128.3195,665.0599,422.733,1.8925
88.1215,41.0424,10.0879,11.8833,7.7581,1990.3458,-1.7919,158.9939,886.7276,388.994,0.8176
174.6224,33.7921,12.7953,8.2826,10.8010,2201.0092,-10.0489,76.2070,582.2096,500.141,8.5410
173.4971,38.5849,12.3447,8.3174,11.3610,538.8438,16.5714,134.0751,405.4098,105.385,1.1629
85.0287,57.3348,10.1846,11.8912,7.6024,2172.5012,15.1975,96.7545,449.8819,174.426,0.8578
119.8310,24.9790,8.4162,10.8949,10.4063,1213.4278,-6.8013,206.3213,547.3423,654.933,2.7213
142.3131,52.0459,12.7250,2.7893,8.4343,4000.0000,2.7285,114.9696,256.0482,872.560,3.6590
152.3146,37.0446,12.2772,5.5155,0.5930,2940.8004,-8.8464,209.7411,392.1888,690.897,2.8646
89.0049,45.5005,8.3597,10.0110,9.5117,3101.6261,-21.4332,155.0602,746.9184,495.021,2.1274
173.4218,34.6531,8.5943,7.6724,8.4713,959.2969,26.9294,122.0819,734.1591,378.829,7.3296
127.7641,45.9824,6.9953,3.1345,10.2994,892.0039,-6.7808,148.6342,383.2437,488.095,3.2842
199.5638,31.4231,14.9977,6.9120,1.7169,2792.6224,-2.8774,195.8151,511.5778,876.503,4.3788
181.4625,32.7835,8.1691,2.6494,7.5904,987.6322,21.0817,169.6533,849.1271,590.553,7.4694
141.0507,24.8545,6.4118,3.3888,11.0652,200.0000,3.2413,121.6476,762.5632,315.830,2.7798
90.3459,32.3716,15.9951,9.1887,7.3597,4000.0000,19.4004,80.3251,880.6658,279.816,1.0805
161.6131,33.7806,14.5355,9.8026,8.9571,1120.5694,27.9759,130.5666,837.4986,165.319,1.4042
98.3619,26.5863,7.8719,9.0933,4.8443,1438.2371,23.6956,188.4307,375.4237,471.345,2.1766
95.0204,32.1130,10.4017,7.0257,2.3609,3141.9253,-20.7483,162.2226,704.4429,500.633,1.7740
147.6342,53.0095,4.3405,2.4546,8.9804,384.5277,9.0678,177.3743,491.6107,425.577,6.2633
155.2597,31.5869,15.4798,6.8294,11.2656,3191.7060,-12.1540,80.2162,241.9391,465.173,5.1489
104.4828,44.2664,7.7510,9.1836,10.2788,2023.0853,28.5224,88.3073,459.3781,441.671,5.0203
135.9767,30.6989,6.9750,2.9681,4.0630,455.7169,6.9226,104.7578,805.7153,397.644,4.2942
149.3224,32.5086,13.1575,6.9827,7.2061,1908.0454,-11.4876,73.2447,861.6630,310.175,4.6727
105.8173,34.1158,4.6065,6.9489,12.3528,431.1432,-1.7648,145.1367,793.0207,567.473,4.3321
167.3010,50.5543,8.3912,6.0058,7.9839,561.4085,3.1934,80.2944,552.9789,260.387,4.2783
198.6909,47.2159,5.4257,11.7508,5.5147,519.2929,-9.6549,201.4528,728.4756,421.754,11.0886
140.0093,21.8121,5.6444,5.3304,6.6324,234.7515,6.3756,142.1708,429.5761,407.638,4.5675
198.8739,49.5728,7.5908,5.3637,11.5961,765.5774,12.5244,111.9707,771.0242,324.883,10.2492
197.5878,43.3481,13.5611,9.2532,9.6326,524.2361,-1.5246,205.3899,748.0328,136.306,0.7002
166.5680,43.3409,6.0461,8.2903,8.6763,741.1528,-21.1335,165.3018,222.0994,433.965,8.6122
82.2725,32.5477,5.8172,8.9050,5.7453,972.4831,25.2313,192.1945,715.0861,394.987,1.7701
104.8810,33.0020,11.9467,7.2548,4.3925,1108.1015,24.7274,117.9258,448.0009,156.519,0.7340
157.1971,47.7325,11.3209,3.9226,3.4513,2154.2103,-16.5080,206.2075,408.3302,389.789,2.3903
164.5986,32.6816,8.1856,11.3370,11.1357,434.6009,-22.6876,164.7271,465.7859,200.159,2.6074
194.5531,52.1846,7.4854,4.8763,9.9980,578.3006,-3.4574,105.9022,535.3555,391.612,7.6109
191.9629,47.8469,5.6473,8.1568,8.2156,240.0283,10.1900,144.3458,646.5612,178.111,5.5149
166.0830,24.0218,13.2492,2.0518,7.7049,2156.3106,-5.5856,200.9045,814.8797,1160.914,3.5303
195.6697,32.8467,11.7508,11.0794,1.2525,1312.7353,2.1091,171.2365,855.6686,538.000,4.2688
185.8694,27.0315,15.0356,11.9717,5.5579,1655.6279,26.1965,204.6984,848.2278,307.046,2.2545
148.1554,24.2920,15.7959,4.8456,13.8474,2216.3808,-0.3653,201.3985,795.7418,809.416,1.5011
93.5176,26.4998,9.5070,4.5726,2.6068,1782.1815,17.4461,149.4894,730.0979,470.462,1.8031
187.6451,53.0796,10.1834,2.8674,9.3696,750.9097,-21.5633,115.3042,373.6330,194.198,3.1379
170.4508,58.1614,7.6234,9.2288,0.1601,1248.8032,11.5661,78.6974,282.7574,338.882,12.5485
140.3025,55.8047,12.4427,5.1098,1.6438,4000.0000,-12.2977,156.0476,353.3900,445.304,2.6681
169.7282,44.2296,8.9901,7.4923,6.5916,1131.3300,9.8457,100.5776,373.2258,351.528,6.4282
89.8244,37.8699,12.4452,2.7810,7.8984,1031.2140,2.8590,140.7682,600.8912,211.292,0.2972
142.4410,24.6496,6.4648,7.8315,1.2732,372.8466,18.5215,133.4805,559.2735,278.173,4.8618
135.4854,52.2766,12.6794,5.9595,11.4303,4000.0000,4.6987,76.3406,441.1702,736.172,5.0749
192.1499,22.7608,15.2053,2.3173,5.7241,1976.3336,15.9497,206.9667,652.1166,606.237,3.5399
125.8976,54.7848,14.8812,5.7565,9.5582,4000.0000,2.3580,161.4948,443.4389,484.868,1.1318
143.4611,49.1143,6.6723,2.0347,0.3183,528.1444,10.4100,146.2223,572.3535,263.185,2.8647
121.5392,31.0260,15.2489,9.2502,1.5798,4000.0000,-4.8456,177.2475,818.6296,655.021,1.4761
92.1076,21.3431,11.1734,9.0329,0.6815,2022.0839,-5.8641,102.8075,352.0884,605.360,2.0490
140.4675,31.5705,13.7894,9.3152,4.4647,2501.3539,10.3519,114.8931,411.2351,386.766,3.0164
106.5251,32.0200,4.7315,11.4852,12.3160,562.1038,7.5596,129.8081,546.9346,648.966,6.0968
160.5611,51.4322,7.8248,6.1632,2.0890,801.7231,15.2650,136.2926,794.5387,237.663,4.1291
176.6931,56.5896,10.7486,11.6779,7.8020,797.6906,-15.4285,98.4671,652.6941,127.599,2.4743
91.0957,48.9834,6.2858,4.6846,9.4314,1251.9737,22.4172,96.3429,733.1875,359.300,3.1076
137.5273,54.7790,7.9956,11.5702,0.2147,2178.9585,27.7247,86.4243,899.7004,441.402,9.3963
152.5282,28.1805,14.9815,7.5208,10.8572,1708.9764,2.0190,120.2963,383.0931,473.140,2.1220
91.8330,59.2527,9.6339,10.3973,12.8006,2420.4322,-5.1642,148.7535,354.8919,356.759,0.9690
192.1710,43.1657,9.0109,3.5241,4.6181,750.4565,20.0018,139.9022,658.2256,281.784,4.7191
178.5910,58.6603,11.7003,6.9060,2.3553,3338.1265,-19.8441,170.8439,541.8214,479.771,4.6495
157.0171,22.3493,4.4059,10.4670,13.2326,200.0000,15.8603,127.7349,789.7813,455.027,13.2764
81.0970,40.2293,8.4784,8.1784,9.3346,2139.9703,-1.0078,138.2996,204.6286,586.677,1.3444
143.5301,30.9896,15.7298,2.1714,11.3842,3450.8677,18.3701,197.3683,274.9115,650.525,1.7312
103.0318,41.0582,13.7826,4.6732,5.5565,3073.7953,-5.6384,149.1003,893.1631,435.283,0.8768
181.7441,46.1494,14.2986,9.5959,1.3090,2133.7561,3.1621,77.8561,206.6151,409.320,5.0297
132.0692,51.3751,10.7903,10.5796,1.3351,2399.0525,-27.4469,99.5984,807.6818,307.258,3.3627
85.5874,22.9739,15.1070,10.9931,7.8891,826.5411,25.7260,114.0279,873.0284,84.613,0.2235
165.5254,35.9318,4.9232,3.6245,3.3666,407.2470,-6.6506,195.5136,432.2109,656.184,8.6674
198.6174,48.9665,10.0095,11.7432,0.7518,1129.0647,20.3205,117.6830,738.3040,257.302,6.0715
172.8266,21.1850,7.2799,11.9259,6.8684,254.8621,26.4686,130.4587,675.7864,218.338,4.8822
154.2339,51.9222,12.5573,2.8204,2.1591,3588.3627,8.0341,173.5517,421.6748,687.370,2.9570
116.9921,34.3967,7.2372,3.3251,2.6235,718.3307,3.2844,127.1262,218.3833,492.188,2.8051
151.7653,32.9772,8.6229,4.9185,5.4292,284.6910,24.0682,196.7291,884.7211,111.496,0.9494
125.6878,25.5536,7.6136,6.9312,0.8857,536.4339,-4.7339,137.7924,253.8450,400.920,2.8035
155.0040,43.7523,6.3466,3.0697,4.2652,983.4561,-10.0670,156.8269,762.8535,603.856,8.5508
177.8571,54.3803,15.6907,3.3612,4.4893,4000.0000,-17.9489,113.9857,875.2022,435.107,3.7411
163.3949,39.6403,10.9106,4.4242,5.2648,2193.4792,-6.4239,85.9443,594.6954,722.472,8.4715
161.8055,42.0040,15.4361,6.6162,9.9171,2834.0926,-12.5201,166.9969,773.2759,323.775,1.8065
139.9164,45.3334,6.9043,8.5866,10.0133,1139.3199,-25.5621,208.6981,535.4643,402.925,4.0923
190.4471,47.6684,10.5237,9.9072,5.0334,2279.9895,2.2144,159.3453,259.4874,778.074,6.8057
122.6011,45.8800,4.5316,11.8361,9.4846,328.3129,15.1610,205.2003,501.3189,217.766,2.7666
141.2811,40.7519,10.9662,7.7524,6.2409,1458.5183,16.3405,152.4026,550.3260,256.987,2.0198
92.5459,36.6390,15.5407,3.1607,13.1695,2119.0862,-11.2866,133.7466,344.8071,190.391,0.3666
132.5799,47.8705,7.8269,5.0026,11.3426,443.3380,20.9508,160.7158,673.9975,134.442,1.2032
109.2696,26.9781,5.9216,7.5985,13.4185,254.1060,-5.6972,95.8232,648.3352,277.816,2.4779
153.6928,27.8930,11.1064,5.8884,9.8663,610.5463,15.1395,183.2222,243.7946,201.282,1.3123
102.4352,33.0394,9.4906,4.6235,12.0769,1537.8143,8.3465,153.5759,627.9159,469.778,1.5023
181.4621,44.6945,13.7649,9.0599,4.1642,2793.0415,-24.9149,88.7527,282.5032,365.861,6.5685
163.2124,40.4330,9.0189,3.3787,5.3719,517.3860,8.1301,167.0806,651.6821,239.591,1.8155
138.7570,25.6119,7.7750,6.5100,0.7506,440.6102,-29.4250,89.1149,770.6512,238.092,4.3541
139.3964,47.3879,8.9876,10.3989,6.8418,479.4302,-28.1484,176.5479,404.4629,96.763,0.8867
100.1851,38.2929,12.9102,9.6592,7.6962,1267.3483,-23.1476,178.5158,776.2980,117.697,0.3609
84.9933,48.7592,10.5562,11.8978,1.4338,4000.0000,15.0807,111.6793,899.5189,335.826,1.5468
178.0074,37.5628,15.9275,9.7563,3.3172,4000.0000,5.2754,119.0883,697.5278,693.028,4.9262
96.7082,28.2648,6.4833,2.5936,4.9114,408.7832,2.3261,115.3115,692.8376,377.460,1.7033
182.9620,59.4195,12.1516,2.9523,13.4788,3524.5599,25.1261,208.9481,806.9333,613.537,4.0428
109.9613,48.4558,13.9418,9.6147,9.4673,4000.0000,4.6455,107.6204,489.9576,430.576,1.5244
185.6150,23.7238,10.1874,4.7823,13.1087,534.4083,27.0152,115.8205,201.7312,331.783,4.4789
167.7118,38.3380,11.9697,5.5822,0.8866,1751.1880,-16.9302,130.1500,348.2960,349.663,4.0775
120.5306,43.1173,10.7937,6.8534,4.8124,2720.4984,-27.0954,83.9405,748.7228,399.785,4.2029
182.9182,37.6514,4.0081,11.5803,2.8325,217.4444,-22.0852,160.9996,311.2842,320.649,13.5038
158.5506,30.0156,8.4621,11.0380,2.3174,575.6232,-11.6694,167.9218,363.9007,223.072,2.8882
80.1304,39.0723,5.5924,4.2619,9.5198,200.0000,11.7358,184.3953,891.7084,80.341,0.3291
88.4994,35.3228,12.7692,3.0243,4.3869,4000.0000,-21.7722,178.2845,727.2105,512.390,0.9051
97.1424,41.2203,4.1017,8.5002,6.1614,488.6899,7.6848,91.1924,488.1969,448.401,6.5294
90.4026,24.0186,13.0293,7.8957,5.3764,3953.3529,-11.1298,89.5762,393.8774,585.355,2.5023
152.0009,44.3037,13.3476,8.9048,11.8705,3289.7066,-11.9010,142.4849,556.6658,408.066,3.0012
86.5483,55.9165,15.4561,6.9489,1.5784,4000.0000,5.6358,143.9601,884.3879,272.629,0.3470
95.8379,54.4326,10.8206,5.6541,9.5612,4000.0000,27.2672,177.8514,211.6826,403.934,1.1594
84.7792,22.4188,13.4715,7.0661,8.8000,2438.2987,-5.0741,168.2535,257.6995,532.470,0.6384
113.2961,32.3963,10.1357,4.0320,11.3128,1575.2647,-6.5561,158.8012,784.1685,565.899,1.6934
163.8411,49.1983,14.1576,2.5791,1.2070,2738.6805,-2.7977,155.2365,416.5030,610.967,2.1137
94.3332,48.3160,12.4180,3.6383,13.3422,4000.0000,16.9792,170.9072,316.8741,408.821,0.8812
112.2517,55.4566,13.2572,2.2936,11.2995,2826.1899,-26.1677,169.7253,603.6562,291.375,0.7403
123.2149,39.9844,10.8026,5.6769,3.5716,722.2474,4.4347,171.1890,359.8831,189.191,0.6260
183.5514,29.7821,9.6612,5.8298,2.1012,1288.6886,21.4491,147.4011,839.7634,530.588,7.8011
118.6162,36.6503,12.6435,4.7126,1.0904,2004.6679,0.1225,196.2717,325.5410,482.144,0.8470
194.4895,22.7571,9.5811,4.8231,11.8279,396.9820,3.1855,71.1157,340.4698,456.420,8.1253
154.7261,38.5571,11.1003,6.9336,10.8166,812.0465,24.0266,176.4675,371.5888,179.000,1.2945
