stator_od_mm,stack_length_mm,airgap_mm,magnet_thickness_mm,turns_per_coil,current_a,speed_rpm,temperature_c,torque_nm,efficiency_pct,total_loss_w
176.1443,78.4036,2.4486,7.9802,22.7380,37.6791,10487.3038,78.9054,2.3373,96.735,72.361
113.1855,47.1927,2.3821,7.2996,25.7308,76.0990,1351.9450,95.5335,4.0834,49.128,604.387
181.3111,82.5370,2.4878,4.0661,24.3466,104.8845,9593.5195,47.0825,15.7021,96.105,523.248
258.2056,82.7532,1.7421,8.4867,23.7621,152.6626,2889.5609,45.3230,66.5083,96.357,703.684
111.2864,50.5091,0.5054,7.0545,20.2515,60.7763,3161.9767,104.8347,2.1440,75.327,224.842
221.8090,127.5081,1.8224,11.4030,16.2033,96.2387,7947.7993,129.0094,11.2424,98.102,175.706
109.8661,83.0657,1.9979,8.1229,12.9267,37.4095,8419.7969,103.9680,0.4049,92.924,25.725
87.1749,100.4840,1.1446,5.2533,8.1918,154.6676,10113.5241,89.0239,1.4311,89.558,180.247
201.0107,77.7315,0.5805,9.8064,17.2920,111.2113,11034.8371,41.7787,15.1458,97.744,375.827
142.6330,86.6632,1.8403,10.7196,13.9153,117.1143,3814.5046,133.4232,5.5993,91.322,201.998
161.8687,84.0324,1.1465,11.7317,15.7002,92.0435,11863.3710,98.9192,6.1441,97.525,208.368
216.1598,127.5572,2.0200,4.8320,19.1813,149.8742,5538.3351,103.7900,31.0510,98.385,444.049
189.5969,73.5016,0.8168,7.9576,19.2540,33.0493,11910.9571,129.5516,1.5187,97.697,49.872
208.9886,111.2421,1.0468,10.5125,29.5259,54.1223,6839.5484,66.0303,12.7780,97.765,195.682
238.2787,160.9638,1.0525,10.1101,15.9586,150.7948,6338.9833,118.4659,32.6704,97.148,357.496
168.1353,60.8034,1.5772,6.1061,19.2460,96.0802,5736.4631,58.6133,7.9771,94.415,330.784
182.9236,72.6987,2.0511,3.3928,23.8729,118.7319,9831.2024,66.3295,17.4535,96.856,664.027
86.6635,110.3208,1.6804,10.8273,26.9806,81.6429,6548.4375,74.8314,6.5437,90.243,462.644
197.8606,61.6106,1.4390,11.7228,14.1255,116.9786,7973.1215,122.2118,8.5789,96.193,249.544
209.3691,146.3163,2.2448,3.3231,7.6421,108.3625,11090.6846,139.6911,2.1781,97.613,49.954
97.7198,128.7247,2.2452,6.9931,22.6560,146.4794,1028.8961,115.5372,13.1636,66.236,750.351
181.8671,150.9527,0.8400,3.7107,26.9002,106.7595,3269.5426,129.5395,30.8667,97.053,358.081
125.7159,75.7457,0.5188,10.2417,27.6290,114.8655,2316.7197,73.0076,18.9200,83.253,939.539
125.0177,158.3425,0.8984,6.4622,17.5970,53.2088,7077.1110,88.9774,2.3809,96.958,56.905
256.0300,132.1522,1.0490,8.0934,22.4592,124.2536,1064.0089,92.7688,45.3232,95.428,243.749
189.2717,89.3249,1.7732,8.5880,22.2663,120.9300,8080.5877,120.6005,24.1155,96.641,537.972
196.3413,83.2506,1.3816,8.2162,23.5766,32.6187,3893.7702,109.6977,2.3667,94.922,40.860
175.5534,167.8882,2.1609,5.3127,25.7926,87.4587,9774.6177,109.5871,16.4761,98.316,320.704
253.3208,59.7060,2.4330,10.7413,23.3812,157.1919,11623.6021,116.5505,48.0385,98.295,1381.975
161.8615,134.1960,1.8447,8.2610,25.7380,151.6409,1745.9802,48.0586,47.2966,92.973,692.458
181.0533,168.1358,0.9427,3.5690,25.7725,147.3143,3975.1870,68.9955,55.6521,97.166,641.300
97.4946,164.2163,0.7713,7.0828,22.0917,124.0396,11378.7020,70.2952,14.1763,96.522,554.330
154.6792,53.8630,1.4787,6.6730,28.8365,24.5803,4761.0945,73.2060,1.2905,92.117,56.019
178.0039,176.8980,1.2173,6.5833,10.5554,37.1024,10252.3817,74.5661,0.6695,97.168,16.692
187.4863,42.9900,2.0736,5.1921,9.0222,99.0409,1289.0168,111.8189,1.5619,71.703,85.024
106.5598,166.0743,0.5057,10.7257,9.4725,38.1989,3382.5233,40.9397,0.3432,94.140,7.542
82.6749,150.5979,0.9759,5.9139,10.1819,27.3359,9029.7577,83.1303,0.1239,94.224,7.128
99.6297,110.5374,2.3908,3.3903,24.7974,141.3773,6496.6890,74.9651,11.1170,88.546,1005.782
166.2167,96.2264,1.8722,7.4124,27.8328,30.2887,1429.0905,92.9957,2.3024,89.079,40.449
138.5334,179.2479,1.5611,7.0834,20.5302,33.8850,8570.4633,122.3351,1.3931,96.986,31.461
209.7512,70.1032,1.4031,5.0564,14.1344,83.4898,5283.8810,31.4103,5.1621,96.257,110.417
246.1373,49.3987,2.1635,3.8391,8.3175,123.4314,9835.3468,86.7645,2.9708,96.303,105.470
139.3363,57.1124,1.2072,8.9881,24.0068,141.5329,8792.1978,136.2078,16.1374,91.543,1334.968
198.2125,71.3943,0.7164,10.6084,14.8215,126.7648,7102.1500,116.8666,12.0580,95.903,307.671
227.3168,125.9003,1.7854,3.2363,28.2980,136.1245,3575.6488,41.6499,57.9859,97.089,638.170
236.5753,119.2850,1.3016,4.2769,21.1961,24.2920,9080.2853,45.8159,1.3988,97.752,32.459
146.6096,141.0234,2.0537,8.1083,8.0390,27.3652,2310.2138,94.1406,0.1447,93.253,2.418
159.5680,78.2434,2.0099,4.0244,16.3179,59.6545,8302.5919,78.3959,2.1370,95.657,83.613
151.1474,123.9055,0.5154,5.7128,11.0696,39.2129,3438.4743,59.3747,0.7002,95.801,11.182
206.6608,110.0367,2.1667,10.2558,7.7298,140.6470,986.4760,22.2490,5.1418,91.175,49.850
183.6366,120.2760,1.9190,6.7592,8.7642,22.9199,4234.8341,116.1587,0.1431,95.805,2.889
232.0072,74.0643,1.6777,7.7157,15.4984,63.4384,4404.4027,59.9682,4.5193,97.237,69.549
100.5248,111.3933,2.3118,6.1444,23.4571,134.6528,9872.9256,48.3523,12.4414,93.116,873.402
197.9916,64.8005,2.0457,7.4471,24.1067,126.3828,5662.4105,130.8985,24.3437,94.958,726.409
192.4139,160.9946,1.7544,4.3586,7.6389,81.9091,3982.4350,52.9608,1.5645,97.142,17.826
90.2402,156.4375,0.6535,10.7783,26.5270,106.1012,6331.2799,75.5254,14.1281,94.057,536.914
241.2578,102.9627,2.1196,8.8665,13.7166,86.5881,2234.9024,27.4248,7.8637,96.113,66.937
170.8188,64.1582,0.9955,6.9398,16.5461,93.1847,2325.5814,64.7422,6.8995,89.732,194.718
140.9061,123.7040,2.0785,8.8257,7.5819,33.2308,8301.3625,54.0976,0.1853,96.804,6.331
140.0052,121.5835,0.7829,6.1484,29.2247,117.7872,5007.5168,91.4049,30.8205,95.581,752.616
147.8023,150.8327,2.1264,9.0310,25.8950,123.4285,8382.2661,83.1672,28.8610,97.327,627.891
112.4473,69.9870,2.3953,7.3764,11.4370,39.2591,1387.3985,121.3314,0.3039,67.231,22.204
230.3216,163.7155,0.5755,6.0309,24.3914,38.3469,4832.2785,39.4697,5.7117,97.989,59.093
158.7812,97.5202,1.8527,5.1378,16.6608,59.8899,9108.1700,73.8714,2.7045,96.878,80.667
225.5523,105.6622,2.1702,6.3106,28.7311,157.8216,5809.3198,53.8126,81.1477,98.352,1239.916
224.2267,59.3758,1.0000,8.7706,26.9788,97.6357,1679.7819,121.5071,26.7944,90.599,482.351
217.3610,78.1908,2.3106,4.3261,16.4993,152.4979,3053.4371,74.1354,17.9680,94.480,366.878
122.4401,179.2335,1.2498,3.2537,28.3398,137.4847,7974.5479,114.9657,30.2533,97.069,832.574
229.3571,137.4501,0.7776,9.3498,16.7664,20.7352,1411.0964,50.7109,0.7635,95.712,4.800
100.0136,80.3342,1.1023,3.4297,16.0758,131.1459,5756.8066,33.3029,4.5148,84.890,495.646
82.9584,112.1526,0.9839,4.2922,16.3017,106.0733,3266.4887,69.9881,3.2765,80.427,274.513
174.6907,111.0259,2.4767,7.9874,15.3709,85.8189,7810.2141,137.7247,5.2487,97.364,119.641
221.9336,88.2723,1.9659,8.6543,24.5160,122.9262,4323.9640,25.3203,38.4707,97.280,559.184
163.6321,137.3545,1.7635,10.3035,7.5144,128.6667,5763.3151,55.2131,3.3065,97.314,55.608
87.5431,170.6719,1.5308,11.9021,19.0327,55.4639,9162.8456,42.9324,2.0493,96.279,85.139
102.4055,91.5227,2.2790,9.6898,27.4713,74.1303,11697.8212,79.5444,6.1672,94.534,423.819
173.4697,152.1607,1.9542,3.7103,20.4589,135.1278,6772.9556,58.5454,22.8593,97.343,405.621
156.7009,136.5671,1.2031,3.3812,26.8809,69.3583,11978.7319,52.9466,10.8471,97.854,287.434
93.5074,129.2518,1.2266,10.2099,22.3059,153.3905,2141.9639,92.9087,15.5150,81.286,829.600
145.9391,93.5996,1.6345,8.4459,22.2975,152.8353,4778.1539,111.5701,24.2879,93.360,803.949
151.6461,130.9385,0.9992,4.0210,23.6562,89.8662,4950.3549,87.4007,13.2121,95.114,261.573
131.4038,168.3070,1.4824,4.1037,26.4678,83.2860,10834.8089,73.4133,12.2548,98.005,330.271
232.1938,84.7423,1.1949,3.5845,19.0121,144.7864,10290.6636,105.4171,28.7548,98.094,619.791
101.8452,68.1373,0.7778,10.1134,6.6308,97.5630,4742.4784,116.4394,0.5077,82.867,51.327
95.5188,83.3007,2.4992,9.4698,18.6167,127.6830,9968.4031,28.8501,6.1194,89.961,646.253
142.0127,162.9144,2.0605,8.7581,10.3671,155.2770,5475.1103,129.2855,6.5409,96.677,131.774
107.5428,63.0520,1.1453,9.3840,14.3046,151.7266,10791.6480,121.5120,4.4257,88.693,642.962
134.5084,114.6869,1.5051,4.5177,28.5986,41.5872,8075.4280,106.4759,3.2976,95.887,102.509
181.4512,155.5331,0.5567,3.4092,21.3949,100.7480,7987.9947,112.0351,18.1138,97.559,301.752
132.1409,173.9310,1.4659,10.2422,22.4398,61.6407,1339.1898,27.1896,6.1525,91.931,75.794
116.7241,124.9324,1.1252,9.4653,23.6208,140.5088,11716.8025,35.6919,22.4305,96.676,923.617
128.1449,74.7086,0.6936,5.6119,15.2196,106.1528,3355.1082,123.8369,4.7342,87.397,243.815
183.9837,83.7801,2.0262,7.4844,18.3534,89.8264,4048.2155,22.7812,9.4768,95.763,184.104
143.5211,47.0757,1.4898,10.9411,21.7022,85.8822,6671.9436,121.6607,5.9208,90.232,449.379
210.9515,146.9399,1.2319,6.6052,19.6868,47.2517,6862.0637,28.8238,4.4357,97.882,63.656
202.4718,56.6335,2.4502,6.5451,25.0775,67.4719,11297.9085,110.5958,8.8137,97.393,313.126
170.0140,46.3425,0.7741,5.9974,17.3699,83.9784,7471.9960,81.8607,5.0010,94.385,270.885
213.0775,81.8928,1.1727,10.4546,18.7762,119.2236,3947.5915,117.8899,21.1444,96.719,314.624
256.3816,121.7183,2.0935,9.5279,22.5130,23.7306,5957.7875,136.0485,1.6070,96.874,25.284
185.0342,63.8717,1.7581,8.5776,26.1880,40.6886,8328.3593,23.7885,3.9930,96.711,118.986
83.4087,83.9169,0.8029,9.2145,15.8491,128.4961,11085.9909,124.7381,3.5768,88.828,528.098
138.5089,132.7118,1.5510,5.8238,10.1564,147.6974,4436.7607,62.5144,5.3372,94.480,126.652
195.7956,137.0639,1.7202,4.7304,11.9165,98.1321,3085.9709,136.7493,4.8088,96.569,59.184
137.0673,88.8324,2.3674,10.1586,12.5630,37.0624,8281.1558,65.5633,0.5602,95.604,21.986
251.8296,152.6462,1.0809,5.5887,23.1394,68.4909,5587.3253,50.7733,15.6585,97.374,163.066
205.3108,59.2182,1.7314,8.2815,11.8190,113.7768,6606.9771,96.5533,5.4996,96.063,166.492
209.1245,54.0763,2.0415,3.0466,19.2085,150.0740,5179.4357,132.2039,15.4604,92.603,679.197
137.8102,130.4257,2.3159,3.8051,19.7792,94.9213,8815.8533,132.4003,6.9236,96.310,227.383
238.8041,64.6104,2.3393,11.9745,15.5279,89.3537,11271.0006,135.4558,8.2600,98.382,201.495
99.3141,177.6191,1.0691,11.9019,19.0392,89.1477,11293.4458,122.1272,5.8379,97.150,203.440
100.2764,62.7492,1.4178,5.3154,10.4688,123.1265,9593.8281,88.1337,1.4573,86.744,231.036
228.8582,112.1393,0.6735,9.0233,10.4347,39.6857,4221.4192,49.7657,0.9963,97.807,11.603
215.6762,173.5649,1.1039,9.5059,6.2745,111.5157,8466.8388,27.4549,2.8594,97.998,41.462
241.1213,138.4980,1.1220,4.0567,27.9871,61.3053,7568.1927,46.2954,16.6100,98.483,224.943
214.5923,124.8035,1.3317,7.9431,17.2999,95.2525,8137.0861,46.2094,13.6916,98.370,214.064
160.4146,138.5273,0.6562,8.0775,7.4822,96.6709,6313.1011,88.7242,1.9071,97.712,33.893
173.6615,56.2736,0.9108,8.2483,8.1826,91.4525,9799.9590,74.4119,1.5122,96.386,66.529
225.2448,141.2592,1.2919,10.3481,23.8993,100.9636,1020.8327,61.3435,32.8783,95.424,197.486
248.2249,49.6627,2.3676,3.2856,15.8128,127.6561,9307.0184,137.4000,9.6488,96.619,367.290
236.5317,166.9474,1.2513,9.1446,21.8830,95.5020,8015.6421,61.7324,26.6226,98.946,344.482
175.1917,141.9001,0.9454,3.0313,6.5456,61.7708,8245.2484,85.3334,0.5585,97.450,13.027
129.6170,171.2375,1.9500,4.0156,25.4275,78.6937,9309.6149,126.0508,8.6014,97.261,237.360
98.1614,44.7007,1.6956,9.3296,7.1682,123.6758,5126.0515,48.1207,0.5581,66.729,157.056
132.0674,154.2101,1.9630,5.8701,20.3500,114.1545,4187.6488,56.2117,13.0404,95.821,281.014
119.7877,82.0701,0.6219,11.5367,27.1131,147.6209,7698.9211,71.2641,24.6759,93.665,1558.212
221.4448,84.6228,1.3326,4.3430,15.0350,125.6183,5945.4664,121.9209,12.6842,97.687,236.773
225.0397,168.0638,1.6248,11.7101,19.3749,38.7730,3292.8729,44.4004,3.2958,97.732,27.327
210.4252,66.6674,1.0369,9.0630,20.4701,142.3069,2663.8779,111.4036,28.1820,92.685,576.313
166.2910,161.7263,1.1659,11.6132,6.3680,151.2024,11563.8919,34.0779,3.7172,98.293,77.555
116.8124,168.1177,1.6042,9.9796,15.1359,94.7110,4631.4849,51.3874,5.2729,95.665,109.180
97.7495,177.3846,1.4390,10.5576,27.9439,71.8987,5260.1970,87.5030,8.2298,94.939,240.619
184.2457,98.4609,0.8048,5.9688,15.1162,136.6708,6241.9670,98.5530,15.2154,96.745,289.275
227.8865,175.3112,1.7834,7.4154,10.0376,131.2966,2446.5557,106.4376,8.3167,96.866,59.259
90.5718,44.7353,2.1934,11.5067,22.0372,127.0074,5242.5106,121.1054,4.2028,59.575,1624.602
81.6455,110.8026,1.2464,8.5605,22.0021,106.3127,6056.8478,78.5425,6.3338,88.405,539.162
129.4533,176.8471,0.5343,10.3184,22.1768,132.8635,10962.3937,32.8420,26.9450,98.139,632.926
114.5478,113.7038,2.1304,5.4059,15.5255,72.2272,5169.3152,87.8003,2.2212,92.482,91.972
197.6724,160.1507,2.0192,3.8415,15.1023,97.3782,1145.3218,21.1340,7.9184,94.098,67.133
158.1037,149.8127,1.6317,10.7216,8.2887,93.9423,989.3452,45.3700,2.2726,90.587,22.729
93.3827,169.5819,2.2986,8.0716,6.7896,150.0273,4116.5740,135.3763,1.3642,90.362,58.461
208.2881,95.7614,0.6539,4.4621,11.7713,136.8511,4975.3010,127.5831,9.8127,97.762,165.461
210.3494,110.1110,2.4486,3.4833,16.4901,137.4145,4416.8166,112.2807,15.2035,96.283,256.238
219.2399,44.1476,1.0467,11.9333,17.7745,69.8136,11323.1427,71.8218,5.7943,97.578,202.222
223.6499,139.8352,0.6641,4.3880,23.0803,108.7461,9006.0358,58.0014,34.4817,98.478,504.750
135.4881,90.3884,1.0395,4.1926,10.4974,82.8381,6879.5100,68.9653,1.7172,95.423,64.498
138.3975,93.9333,1.0837,6.4902,8.0328,146.1590,10909.8871,137.3808,2.6838,96.049,119.474
148.5318,59.4376,1.1023,7.4381,7.5184,80.8547,5342.6769,78.1078,0.8340,92.026,40.243
186.8852,67.3768,0.7139,5.7419,28.7718,66.5104,7632.2102,116.4892,12.7970,96.990,339.460
226.7856,160.3312,2.4485,4.2251,13.6960,152.6190,2809.7921,57.7020,18.2836,96.967,149.648
168.3813,120.6231,0.9848,6.3845,25.5959,75.0109,1809.7100,87.6621,13.7143,93.231,171.606
202.7083,117.0139,2.4060,7.1546,23.0008,81.3837,3850.3089,103.1402,13.6150,96.427,171.749
194.0005,73.8830,1.8173,9.4371,24.9378,30.3551,11893.0571,77.5082,2.2370,97.865,66.693
245.6706,136.8392,1.5873,10.1165,14.6287,145.3702,6674.4188,96.5816,25.8418,98.149,298.730
196.4600,46.2015,2.4672,9.0972,15.5908,125.3756,11605.7429,71.6547,8.6007,95.873,466.567
171.9217,112.6317,1.6610,8.1771,16.6987,74.7588,9381.9357,90.6308,5.3183,97.916,123.610
154.8756,174.6419,0.7321,11.4661,9.4002,63.6646,5736.3253,44.8241,1.4772,97.713,20.714
158.8699,137.5469,1.1378,5.7024,25.4445,36.1119,10265.5701,97.7564,2.8749,98.124,68.289
111.4016,62.4190,1.6197,11.6262,11.5645,76.7066,2621.1954,96.8575,1.1372,76.431,96.189
190.5392,67.6254,1.6844,6.4995,22.9137,48.8098,9151.7432,117.0476,4.0703,97.103,123.163
138.6773,104.0571,1.0247,10.7637,18.6652,109.4752,7365.1645,93.3570,10.5626,96.033,317.483
232.1932,126.4308,2.1275,9.3539,13.1387,106.0278,1474.6476,36.0737,10.4427,95.994,71.627
171.9485,98.5535,0.7757,6.4534,10.4581,108.9702,8474.4787,97.4312,4.4367,97.348,106.958
168.1356,59.6415,1.1292,7.0590,7.2867,70.2655,610.2096,36.3842,0.7756,68.290,21.023
203.2454,98.1883,2.1798,7.3983,7.9841,24.3205,9252.1511,55.0508,0.1581,95.953,7.259
110.2776,104.0250,1.9850,9.8933,19.1934,35.8495,1813.3765,113.0136,0.9175,82.869,35.230
209.4164,116.4895,2.4796,3.9217,25.9217,125.1884,3923.6528,139.9175,30.9412,96.455,476.922
227.0111,101.4698,2.4879,9.9807,11.6867,133.4984,7261.1248,62.0757,10.7173,98.047,168.167
117.1915,68.9720,0.6187,6.1573,12.7460,95.4276,4222.0166,104.4865,2.3743,86.844,161.140
234.4430,177.9684,1.8586,3.8570,29.1065,129.9967,11065.8402,139.0983,60.4016,98.754,1013.426
208.0511,155.9875,2.0229,9.0861,17.7470,100.8396,3590.2472,69.7070,15.0020,97.762,136.864
238.4225,53.0333,1.5312,5.5040,28.4721,71.6700,11427.9219,59.2747,17.3943,97.589,482.467
162.5209,132.9801,1.2164,3.5700,18.8262,50.4962,5440.8957,45.4222,2.8727,97.712,52.680
140.7959,120.9107,1.6323,7.3680,14.2498,115.5573,1056.7065,31.9490,7.2304,85.664,136.385
159.4315,40.0946,2.4161,4.8209,22.5262,38.4678,7974.9678,39.0773,1.4205,91.132,112.116
197.8258,75.0545,1.2437,11.1342,9.9726,75.4878,4013.3563,103.9330,2.2041,95.696,42.698
165.8252,58.5780,0.9524,9.1198,6.2229,117.3836,9896.7538,138.5786,1.1843,95.375,60.352
92.7491,93.6298,1.9615,3.9218,13.5204,143.3385,2076.9869,112.8153,2.9339,63.942,359.369
175.4915,41.1865,1.8000,6.9609,23.3384,107.9312,2240.8025,69.4052,12.0241,78.219,741.073
95.6038,54.0651,2.0049,8.3062,15.2168,154.8548,4116.7922,36.7796,3.5624,62.524,909.339
189.3668,149.0558,1.8810,10.6310,21.8017,62.2309,6454.1150,81.1427,8.0510,97.635,113.722
89.8224,165.7078,2.4093,7.4540,8.7058,89.9416,7330.1923,83.3944,0.9552,94.524,41.309
234.9465,119.5733,1.2308,9.1465,24.3054,153.6234,9359.2211,22.0027,76.4758,98.584,1197.409
87.1688,48.4656,2.0786,7.5595,21.0857,90.1469,5277.4679,104.2173,2.3903,64.032,727.682
135.7832,111.5827,0.9064,10.2725,18.8734,74.7024,7794.3838,120.1432,5.2935,96.466,153.237
205.7617,142.1942,2.1929,3.5212,8.0691,80.8277,5713.7762,93.0599,1.4337,97.467,23.144
207.4221,138.2099,0.8277,11.5771,18.5521,129.6182,8788.8035,40.0356,30.0139,98.893,466.563
128.3776,164.0981,2.0429,3.2642,25.3706,58.0773,1234.5279,105.4788,4.2493,85.562,90.290
169.9298,119.3641,1.2354,5.2960,8.4697,100.3477,8811.9513,47.4085,2.5003,97.641,54.957
235.3271,74.2372,1.4435,6.4468,9.6020,150.3624,10361.0798,86.3438,8.3290,97.544,189.637
154.9262,140.8403,1.0425,3.7010,14.9474,90.2857,10872.3216,41.5213,5.8055,96.859,141.605
251.7343,49.6497,1.4302,5.5408,26.2763,65.8221,6860.5510,20.9563,13.7302,96.849,306.452
163.5068,122.8367,1.4867,9.9535,10.6901,146.0621,9245.5455,49.4152,8.1214,97.721,183.694
