melt_temp_c,mold_temp_c,pack_pressure_mpa,cooling_time_s,injection_rate_ccs,wall_thickness_mm,part_size_mm,glass_fibre_pct,warpage_mm,springback_mm,peak_residual_stress_mpa
296.8709,66.3344,78.7976,31.9352,16.2882,2.7525,225.9976,34.1088,0.8150,0.4013,75.930
259.5035,74.0170,51.1684,11.8364,107.9316,1.7386,258.0817,24.7753,1.8965,0.8725,59.727
252.2783,94.7765,48.3833,30.9181,36.2555,2.1874,285.0916,11.9999,1.4593,0.6889,36.778
299.8454,99.6877,36.5935,14.8209,39.1720,3.7998,358.3025,35.1708,9.1769,4.3872,102.427
283.3745,76.2832,85.0510,39.5915,81.9374,1.0235,335.9864,11.9752,0.1697,0.0754,31.866
210.7036,64.2579,54.5113,27.3546,88.9373,1.6108,271.9833,10.5594,0.7775,0.3314,30.194
284.6104,27.3839,68.1218,16.8538,10.3900,3.3134,272.9897,10.4782,1.4517,0.6357,87.892
207.5244,90.6485,111.3536,25.4589,101.8055,2.7475,101.8328,5.0978,0.0289,0.0124,30.693
279.6122,88.8562,110.9032,14.7224,37.4483,1.3084,323.0407,35.3654,0.0886,0.0449,59.173
286.4606,98.0965,102.9695,36.2053,12.7265,3.2097,166.2649,37.2326,0.0811,0.0387,62.913
281.0749,41.3445,100.8637,11.4591,105.9383,3.5758,127.8518,32.6635,0.0813,0.0402,121.407
202.3664,35.4504,59.5436,35.6593,116.3578,1.8374,274.5186,15.9871,0.6463,0.3087,34.809
293.9237,29.2273,117.3361,13.7142,115.8788,1.7964,87.9409,17.3826,0.0193,0.0088,74.576
238.5195,66.1270,52.9250,30.6811,10.1860,3.7767,238.4582,28.7772,2.1874,1.0624,62.990
236.4221,25.5979,89.7814,18.5664,44.5307,3.5440,301.9140,12.0129,0.3594,0.1667,73.628
212.7288,53.6357,114.6327,29.6742,109.3086,2.8465,155.3325,21.9175,0.0466,0.0220,47.767
242.9888,66.3988,88.9235,22.8796,58.6376,1.6411,215.6152,36.0472,0.1365,0.0655,52.850
263.2941,46.8151,103.6581,32.0364,84.0075,1.6739,119.6955,0.9770,0.0135,0.0056,38.087
284.9738,25.8263,67.2997,28.1525,31.3879,3.0891,223.0320,9.7594,0.8608,0.3845,71.712
210.6587,54.0117,45.8298,38.6549,66.9754,1.1507,137.2194,33.9335,0.3812,0.1849,32.454
266.7578,99.0314,83.5907,38.4013,108.0569,2.8380,301.7459,20.1911,0.4667,0.2106,45.402
247.4674,40.7353,52.2516,28.4052,94.2395,2.5639,269.3620,10.9839,1.2408,0.5776,52.709
227.1715,45.5768,78.6137,12.4280,35.4388,3.0818,297.2467,2.5692,0.7731,0.3427,56.872
242.0144,92.3871,82.5671,30.2567,104.2405,3.2968,183.1334,0.2358,0.2329,0.0954,37.580
285.3448,96.2744,67.7119,31.9205,70.0746,2.8098,127.1885,8.7769,0.4923,0.2203,45.904
240.4317,33.2036,72.0651,12.0841,78.4483,1.0809,187.9071,22.5757,0.3725,0.1757,53.944
213.5699,56.9359,34.5256,20.1313,33.2826,1.9805,316.4304,15.1650,2.0992,0.9251,41.342
201.9383,63.1535,119.9917,19.1987,81.5159,3.3437,278.1141,30.1693,0.1443,0.0697,57.620
202.0380,32.1906,41.3599,29.4227,72.0367,1.6539,294.8127,30.6759,1.3292,0.6466,43.270
281.9301,97.1777,39.7289,8.8217,44.3153,3.0320,385.3605,15.8662,6.9523,3.2209,73.075
269.0614,70.1794,39.1711,32.7194,103.5323,2.8012,92.3693,39.3538,1.0120,0.4859,66.940
250.5961,47.2985,106.4618,34.3146,21.6093,3.8824,272.4548,33.1483,0.1164,0.0556,76.194
273.3795,97.2379,54.3074,33.8624,69.1990,2.4505,202.4511,29.2410,1.3295,0.6657,50.335
288.1631,39.5091,71.8238,27.5306,51.6888,1.0861,347.8335,7.2736,0.4166,0.1867,43.794
234.0339,90.4256,93.1065,16.8406,11.1166,3.8442,79.9645,28.8030,0.0552,0.0274,65.915
249.0821,83.4346,38.3748,15.0911,86.0966,1.9186,253.5445,18.9304,2.1228,0.9932,48.563
274.5935,46.4633,93.2569,16.6693,37.6544,1.3620,117.4045,4.7822,0.0406,0.0181,47.765
248.4199,77.9668,117.8946,24.7884,41.1299,1.3016,117.9412,9.0993,0.0164,0.0072,32.915
253.4135,41.9449,117.6865,25.7075,86.7159,1.3788,353.9614,19.6351,0.0502,0.0225,45.768
218.4364,24.1101,114.6957,23.2873,100.4327,2.2021,75.9288,25.1778,0.0172,0.0082,58.017
256.2840,44.3068,119.4526,11.7904,94.0888,2.8190,326.7593,9.0275,0.1141,0.0518,68.017
299.0031,44.4304,85.8925,27.5082,91.4098,3.8428,122.7258,8.4410,0.2948,0.1283,78.736
217.3814,26.0052,30.2408,22.4161,75.3192,1.8738,131.0167,28.2782,0.8732,0.4117,54.311
278.7828,70.0046,89.5065,37.8774,56.7653,2.6337,276.6722,36.3365,0.3128,0.1598,62.677
216.5923,44.6089,97.4062,26.2146,41.7472,1.3731,291.0373,27.9893,0.0469,0.0217,41.014
203.9861,54.5623,59.0089,16.0118,20.0460,3.8857,342.5855,23.0080,3.1376,1.5893,64.818
267.2282,41.5609,33.6209,32.2006,61.7551,2.9545,370.6255,7.2596,2.5185,1.1220,55.383
234.7961,46.6647,90.3120,35.4475,46.2784,3.0810,150.8762,37.8077,0.1217,0.0601,63.227
245.4826,45.1614,59.0946,39.0459,54.4593,2.5438,395.8417,26.3064,1.6795,0.8112,53.318
275.6443,70.0327,98.3991,14.5139,70.4142,3.7830,203.3406,27.9300,0.1396,0.0681,100.737
260.8872,39.1438,44.2540,25.6268,70.7477,1.2796,397.2900,36.5172,1.6912,0.8355,57.779
271.6603,60.7098,54.6082,34.7112,117.8269,1.7312,242.9428,15.3434,0.7923,0.3787,42.676
287.9326,89.1222,54.8623,33.2802,55.6437,3.8027,227.7082,32.8220,2.4512,1.2102,71.045
248.9640,31.8876,78.4723,19.0440,70.7109,2.6303,209.3706,12.8711,0.4970,0.2372,67.013
257.1798,38.6850,99.7990,9.3967,91.9176,3.1157,333.9931,15.4432,0.1562,0.0707,89.121
203.7020,60.1833,83.1162,35.8304,106.1609,2.3209,234.0829,18.2771,0.1973,0.0914,33.660
265.4781,32.3489,72.2542,39.0145,47.2417,3.0781,277.4428,34.0706,1.0992,0.5047,73.146
271.8717,80.7521,108.5145,9.1488,17.5263,2.8935,372.3252,39.8970,0.3012,0.1462,93.233
209.8443,70.6998,108.5321,22.1977,86.3401,3.7103,66.0968,31.8457,0.0372,0.0184,60.991
256.5928,83.4016,45.2985,10.5270,105.7924,2.8591,134.2904,36.5132,2.3688,1.1496,82.448
225.3977,40.4261,30.8458,33.7483,109.1330,3.0328,105.2915,17.6692,0.8493,0.4078,51.295
225.0098,87.6243,47.9295,20.3102,63.1529,1.7116,250.1729,22.9925,1.3753,0.6698,37.130
297.7944,72.6584,54.7032,26.1097,85.4379,3.2340,67.1655,24.2563,0.5797,0.2869,77.587
260.7065,48.1857,87.2956,27.8685,84.5541,3.1628,280.7135,33.5335,0.5524,0.2511,75.987
264.6341,44.7146,69.6741,26.5464,90.5596,1.2704,153.2887,29.8992,0.3220,0.1555,49.513
253.0852,93.0790,104.7425,16.2230,100.7159,2.4455,332.2710,29.8624,0.1560,0.0755,59.116
296.2893,31.2606,116.9850,35.5245,89.6638,3.9398,388.5444,32.1835,0.1428,0.0726,102.345
245.4786,73.8263,90.5107,26.7059,100.4659,3.8209,87.9211,9.3529,0.0495,0.0230,55.026
256.1407,93.2205,49.9230,10.0229,100.6241,3.7282,155.7666,16.3318,2.5985,1.2036,71.656
209.7192,90.9807,42.2098,22.5166,83.7535,3.2294,381.0909,16.7651,3.9460,1.7796,39.327
241.4885,27.9217,74.0412,21.0597,114.6674,1.0981,179.6855,17.7353,0.2342,0.1032,46.745
254.4466,98.2274,62.2806,20.7405,30.8789,1.3665,346.8116,18.1887,1.0695,0.4799,35.454
259.7146,21.7086,100.8115,15.7942,23.8516,2.6937,74.0136,30.6063,0.0263,0.0128,94.208
214.7554,92.0425,30.2552,35.4690,25.9157,1.3900,137.7290,6.9799,0.5061,0.2252,20.384
201.4860,83.1988,51.4138,18.3607,29.1671,1.1572,309.6013,21.0434,1.0252,0.4695,27.934
210.9054,60.3071,115.0874,9.3877,96.1550,3.6009,232.5079,18.3217,0.1493,0.0714,67.575
247.8982,52.1294,91.7488,23.6886,110.0671,1.2205,78.2767,24.3319,0.0225,0.0106,44.188
232.5185,99.5702,77.7501,22.5189,76.5969,1.2975,295.6228,34.1117,0.4133,0.2004,34.145
272.0840,37.2018,70.6399,15.3118,47.2825,2.3605,195.5964,3.8034,0.6152,0.2764,62.107
292.2985,25.3707,104.8595,10.9834,20.6221,3.2164,334.1192,22.2548,0.1559,0.0711,112.617
232.9646,29.7785,61.8238,29.2909,92.5313,3.6043,302.3712,38.7359,2.0895,1.0286,82.601
265.6736,37.9396,39.7397,35.0519,50.4317,3.2878,250.9350,32.2889,2.4242,1.2156,73.962
281.8427,69.0859,87.8429,8.8401,112.1993,3.4884,143.6067,7.2166,0.3784,0.1649,82.254
286.9863,65.3057,66.0706,12.5400,79.6489,1.0920,311.1391,8.6053,0.7474,0.3262,48.645
237.0053,77.7277,99.9152,26.1630,19.3453,1.1578,105.0935,24.7135,0.0160,0.0075,34.428
244.2044,41.8533,97.9449,11.6422,57.2905,1.8497,287.4702,19.4653,0.0780,0.0369,62.125
239.5263,67.9460,30.6918,17.6454,33.2357,1.4117,139.4318,13.1249,0.8145,0.3587,40.173
270.3671,60.0210,105.0019,33.7984,17.9283,3.5853,64.8058,0.7497,0.0165,0.0071,51.115
257.5759,65.8720,93.8549,21.3662,22.6691,1.0626,163.6689,32.0529,0.0257,0.0124,47.540
284.4484,39.4653,82.9984,24.7668,53.5343,1.9308,168.8296,13.3227,0.2531,0.1169,59.646
211.4027,60.7962,111.5330,19.1800,90.0117,3.4568,335.2630,9.4508,0.1289,0.0577,48.991
265.5509,34.1717,99.5563,23.8117,92.9890,3.2796,207.1168,36.9662,0.0841,0.0408,94.320
262.4522,89.1397,86.4496,12.8306,17.5115,2.3266,155.9872,10.9869,0.2133,0.0946,52.224
205.6890,86.5357,36.9058,35.6560,104.0823,2.8450,227.4737,18.5085,1.8467,0.8120,31.510
289.5877,55.9787,102.8834,28.8588,45.3679,2.4269,102.8014,2.4749,0.0197,0.0084,49.959
250.4549,33.8047,52.2969,22.0083,58.3364,2.5682,105.5612,14.9141,0.6038,0.2682,64.276
233.8367,67.8309,101.0304,28.7138,17.2503,1.2835,287.4328,11.3659,0.0356,0.0157,32.096
233.3362,66.6192,42.7286,19.1943,116.4466,3.0954,187.1853,23.8016,2.0454,1.0045,61.693
237.6679,83.3330,103.1866,29.4437,101.1855,3.2163,289.8951,21.0557,0.1119,0.0522,48.705
218.0263,37.1354,115.2901,23.5607,34.9197,1.4127,77.0078,33.7771,0.0137,0.0068,49.397
283.5120,90.6946,33.3973,18.7765,94.2938,1.3931,181.8520,6.4899,0.9836,0.4120,40.296
243.7673,52.8687,90.8727,15.6010,58.8619,1.8548,311.9878,17.9571,0.1663,0.0766,54.075
280.8624,57.5212,105.1602,19.7709,114.1843,3.9533,211.5880,11.2709,0.0905,0.0422,85.237
280.1259,31.0719,52.5003,28.5177,106.1529,2.6636,85.9064,33.8357,0.5917,0.2921,82.001
276.3117,41.8233,111.4776,12.7152,58.1220,3.8392,127.7133,18.0451,0.0684,0.0319,105.437
223.5778,99.5620,63.7421,8.9020,112.3908,3.5175,277.4862,31.6552,3.4643,1.6770,64.931
282.9762,75.6858,42.4913,30.5772,59.3462,1.0158,77.7290,10.2370,0.2080,0.0900,34.404
211.1187,43.0481,57.1036,9.5280,56.1808,3.3817,209.9898,4.4343,1.5975,0.7257,59.787
201.6435,61.2301,51.7744,12.5945,57.2163,2.8444,134.1975,16.6627,1.1403,0.5241,51.441
252.6059,60.5862,118.9498,25.7329,52.9499,2.4104,272.4848,39.2416,0.0963,0.0473,66.798
278.8520,47.5842,95.9647,28.1042,94.8652,3.2056,166.3815,1.7734,0.0532,0.0232,59.490
246.4623,75.6311,86.8562,33.9679,16.9411,3.3286,210.1879,11.7377,0.2200,0.0975,47.147
204.1906,94.6697,76.3845,39.6519,69.7334,1.7599,313.6518,7.6441,0.2737,0.1270,19.508
212.4475,49.4415,110.0538,31.7858,108.4101,2.1599,390.8033,19.8481,0.0795,0.0359,40.373
251.9276,84.0918,95.4373,10.5257,76.2699,3.4670,240.9160,12.8485,0.1533,0.0688,66.968
242.6116,75.1812,61.6392,9.3554,105.7041,2.0577,399.3527,10.9822,2.3245,1.0686,50.589
207.5041,71.0010,62.6980,33.6351,84.7352,3.8584,99.9728,24.3029,0.5962,0.2803,49.340
236.6328,50.6284,81.0520,27.3630,84.6968,3.8465,180.2047,30.5234,0.5798,0.2691,74.550
239.8034,71.9649,52.4650,11.6304,90.9242,2.4971,185.4456,22.4669,1.7510,0.8376,58.001
228.5577,93.3183,74.2080,11.9244,103.8109,2.3561,364.5377,17.8044,1.3367,0.6210,46.395
284.5521,45.5670,61.2683,10.0781,69.6388,3.6740,347.9767,28.4724,4.6965,2.1651,121.010
212.1362,36.0784,42.4989,33.2919,12.8912,2.6621,179.1189,32.1465,1.2184,0.5869,53.812
208.6215,44.7433,119.9636,31.0038,67.8265,3.3075,338.1688,2.9500,0.0800,0.0332,40.198
234.4515,90.2368,100.2237,28.4734,30.0159,3.8988,201.4164,36.4285,0.1248,0.0609,61.812
215.3015,33.1726,59.0395,30.6986,48.0625,3.8227,363.2241,33.8373,2.6094,1.3021,72.039
230.2825,62.6782,75.2316,13.3963,113.5768,1.4626,280.5565,28.8253,0.6589,0.3072,49.332
256.3618,86.0189,32.5536,9.4548,80.5599,2.7303,277.8955,30.6784,5.5959,2.8025,72.633
228.9672,96.5320,73.4650,33.7500,85.3490,1.8923,75.5406,2.3965,0.1024,0.0429,24.211
220.4023,68.5328,58.1324,30.9876,90.7620,3.5823,391.3809,5.2306,1.9311,0.8726,41.157
226.7472,39.8335,38.7130,17.2868,52.2565,2.8461,136.8946,34.6123,1.6667,0.8015,77.731
257.7687,45.0172,98.6809,23.9445,66.6197,2.4963,157.9892,0.9271,0.0306,0.0126,49.800
235.2895,24.0432,74.5405,36.2349,81.9686,2.4118,237.8418,33.8869,0.5910,0.2768,61.787
272.7508,81.1085,62.9344,20.8186,72.7310,1.5840,243.6280,2.9413,0.6265,0.2782,38.246
268.0399,29.5049,117.7575,20.6049,97.4387,2.0173,378.6320,30.1986,0.0977,0.0447,76.330
250.0078,23.6243,42.3333,18.6573,62.1119,2.3710,262.1912,20.6202,1.8296,0.8880,73.350
273.9319,43.9387,60.2736,34.5053,68.5574,3.1262,154.9267,32.6300,1.0365,0.4670,78.415
297.9898,66.6962,101.7079,31.2104,85.6848,1.0799,216.1066,38.6828,0.0322,0.0151,51.838
258.3523,33.6410,86.6123,27.8315,102.5284,1.4433,288.2544,1.2628,0.1570,0.0682,38.534
201.8937,45.0954,43.6288,30.0960,55.1415,3.3249,372.1823,34.9127,3.5228,1.7022,59.160
232.5050,72.9781,77.2929,18.0401,29.0501,3.7364,169.8145,14.1715,0.6375,0.2892,58.511
264.3309,75.4651,84.9069,14.1525,37.1171,2.6743,128.7035,38.9164,0.3693,0.1849,82.691
231.7041,47.9043,114.0330,33.4530,40.0803,1.3656,286.8178,15.1878,0.0345,0.0159,34.535
295.4609,84.3693,56.1407,17.2042,88.5555,2.0391,204.8316,10.2578,1.1273,0.5129,53.019
269.6171,30.9818,85.4109,26.7786,36.6704,3.0095,235.8645,25.5178,0.4957,0.2427,80.470
271.7358,28.0436,99.3689,8.1658,70.5388,3.7873,192.4176,37.4013,0.1541,0.0730,143.677
232.1168,71.6718,111.7143,10.8627,73.1547,2.6055,303.0912,37.4668,0.1946,0.0917,71.183
288.2245,34.0631,112.7671,39.9095,53.6694,2.4862,377.8131,38.4853,0.0967,0.0449,76.235
210.7301,98.6395,55.6105,39.6512,69.7631,2.4817,378.4962,34.0424,2.0591,0.9852,31.536
211.2647,32.9995,71.3023,16.2325,30.4819,3.2099,326.7687,22.7112,1.4984,0.6964,71.987
282.6990,61.2225,37.8064,29.4162,30.3259,1.4218,163.2606,9.9219,0.6075,0.2809,42.430
275.3757,96.3228,57.1751,31.1322,11.2579,2.9611,292.4690,2.4850,1.4698,0.6283,41.264
289.5118,76.2846,57.9880,11.7573,110.7743,1.8851,265.1189,8.7651,1.5017,0.6642,58.507
274.7735,68.4591,67.4261,25.5755,61.7911,2.6126,282.4331,8.7365,1.0582,0.4860,53.507
244.6748,76.3013,37.0292,26.0534,16.7934,2.6429,226.9205,22.9081,2.1441,1.0269,52.295
252.0342,29.2992,48.4861,26.6607,20.0036,2.5311,333.0422,18.1373,1.8211,0.8616,63.894
280.6915,77.8624,65.6354,34.1265,92.0385,2.7349,65.8514,13.7812,0.2718,0.1301,52.407
293.4583,25.5215,114.0398,9.0155,54.9754,3.3069,318.0397,39.1333,0.2062,0.1008,146.242
286.9620,92.5414,63.8081,29.8474,82.7972,2.6179,278.7369,13.9108,1.3022,0.6005,51.769
252.8843,78.2287,50.0421,8.1111,12.5009,1.8951,285.7250,21.7778,2.5993,1.2571,59.578
227.5650,94.9928,95.2522,11.6110,99.0426,2.2577,318.1187,35.3503,0.1821,0.0882,53.290
210.0897,22.6861,83.8006,30.5052,15.3544,3.2216,190.7929,9.3736,0.2352,0.1081,52.374
228.9263,85.2629,95.8366,18.2049,75.7709,3.0176,162.2328,12.0706,0.0666,0.0304,47.678
222.1043,44.0401,35.4862,38.3526,106.7685,3.7347,269.0976,17.0880,2.2406,1.0947,54.649
278.5805,45.4988,67.4692,12.7750,51.4106,3.2632,215.7316,33.9736,1.9607,0.9524,113.604
280.5776,93.1793,80.6147,38.9692,71.3015,1.4023,135.0005,8.1335,0.1172,0.0515,30.697
272.4585,35.2385,54.1615,29.5575,76.3214,3.6209,115.8572,30.4679,0.9898,0.4779,87.636
247.9394,89.5579,59.9668,38.6246,11.6867,3.8115,386.7271,4.6926,2.0083,0.8527,40.723
220.4513,93.2101,79.6871,32.8164,51.8728,2.6010,175.7408,10.4625,0.2329,0.0993,30.375
209.8608,98.5055,72.2541,34.8714,110.5764,2.1121,194.8756,22.5010,0.3992,0.1896,26.955
257.9143,53.4062,43.7170,18.5557,51.7824,3.5001,224.7555,26.1843,3.0422,1.3745,83.631
282.1592,97.3207,87.7525,23.6991,28.5057,3.3849,109.2430,28.8125,0.1968,0.0991,69.656
205.8732,22.7059,106.2028,38.2460,83.5037,3.2930,194.3373,33.7018,0.0562,0.0276,62.741
200.9141,60.4586,63.5881,27.7707,83.3430,2.8496,219.1215,19.5142,0.9377,0.4265,43.129
227.4741,98.1983,31.5428,34.0210,84.1436,3.4185,368.4207,4.2807,3.3295,1.4530,32.869
219.1932,62.1165,103.3693,16.5544,53.6586,2.1192,192.1096,22.6001,0.0612,0.0284,48.555
265.3736,88.6575,98.3627,10.9920,51.7190,2.6581,69.6402,0.3780,0.0251,0.0111,52.293
243.3910,82.7501,80.9271,35.4547,20.4898,2.5845,64.8931,8.4567,0.0890,0.0372,35.878
207.4348,94.0468,110.9380,26.0323,13.6192,3.7863,160.0696,38.4588,0.1042,0.0496,49.249
271.2711,51.8637,36.9244,13.1984,36.4519,3.5040,186.2048,35.8610,3.6502,1.8617,113.738
272.4164,60.0634,117.6891,9.7183,58.0797,3.5160,169.2075,30.7602,0.1333,0.0626,106.602
277.3555,22.3701,54.5994,39.7627,63.9664,2.0674,379.4000,17.2739,1.2310,0.5607,55.734
279.8055,77.0487,37.3834,12.9351,88.2845,2.9017,308.8794,12.6671,4.1533,1.8592,70.661
230.8267,48.7934,54.2790,12.2402,30.6131,2.3465,244.1590,16.3218,1.6950,0.7685,61.297
232.4430,50.8190,56.2663,20.4096,19.3169,3.7034,366.8227,39.1269,4.0818,1.9517,85.918
238.0732,31.1072,57.1018,23.7800,16.9594,2.3040,197.3858,19.3693,0.8873,0.4105,58.585
259.3806,35.6439,39.6275,17.7491,114.3706,1.9967,267.0673,32.1631,2.2314,1.0400,75.420
281.5475,88.7607,117.6803,12.3560,45.2732,3.8418,120.2980,12.5673,0.0817,0.0348,79.194
249.1007,66.0703,51.8182,20.0338,99.8144,2.1788,89.8607,22.5540,0.5920,0.2649,54.420
268.1713,64.0079,115.7704,22.7719,87.9204,2.3154,151.9659,27.7134,0.0491,0.0223,63.160
263.3336,39.3617,89.2797,30.8876,96.7984,1.2219,396.7452,19.1694,0.1961,0.0883,44.632
292.0392,75.3367,78.9281,33.3031,49.5482,3.6865,237.9171,25.5272,0.9821,0.4609,74.349
264.7000,23.5437,118.5247,29.6791,53.9580,3.2580,388.0009,17.2182,0.0995,0.0474,74.079
251.0676,61.5038,82.2466,26.4075,59.0356,2.1734,320.3198,23.5436,0.5194,0.2498,53.169
241.5975,96.9382,40.4462,38.1016,25.5843,1.9357,209.3664,8.2747,0.9462,0.4096,27.337
243.8166,75.7411,58.7019,17.6085,99.1205,1.3453,347.2130,25.9188,1.2978,0.6137,45.148
217.4453,32.8109,80.3864,38.6708,35.5041,2.2151,114.5581,25.6192,0.1527,0.0723,45.455
261.4107,35.7860,83.2983,20.4427,87.5209,1.6174,313.3139,32.3492,0.4989,0.2400,66.279
232.5985,56.6040,53.6118,35.6044,68.0487,2.9173,258.9398,24.4523,1.5153,0.7126,50.631
284.5518,69.3890,103.2364,30.5916,42.7189,2.8435,79.6632,5.3579,0.0194,0.0085,52.519
251.0825,53.4591,42.4081,20.2787,30.4329,2.9065,292.7015,25.8104,3.1164,1.4775,71.449
248.9642,31.2237,58.3122,22.4320,15.8972,2.0771,53.3542,5.4614,0.1751,0.0713,48.902
268.4697,53.2504,105.5903,23.6384,19.0938,1.0926,316.3698,11.6836,0.0342,0.0154,42.051
216.8209,56.5857,96.8266,32.5094,70.4699,1.3396,89.9723,31.0045,0.0140,0.0066,36.358
271.8980,63.7083,119.0798,11.2773,101.3078,3.2540,154.1981,39.9725,0.1136,0.0551,107.548
281.6729,55.1256,119.4562,32.8202,36.0641,3.4321,255.7734,14.0252,0.0771,0.0344,66.596
220.6620,36.5554,35.3422,19.2261,40.9194,2.6163,163.2788,28.1622,1.6290,0.7691,66.508
285.8017,98.8391,91.1369,11.0472,115.9049,3.3571,371.5690,39.6994,0.6344,0.3071,98.929
271.1395,86.2785,98.5326,29.6395,63.8405,2.7323,144.0510,16.5690,0.0446,0.0202,51.452
288.0125,27.4476,76.4052,16.9032,112.9970,2.1072,382.5889,13.0916,1.0628,0.4668,72.258
245.8449,73.1315,62.2400,10.0266,68.7867,1.6535,200.3751,8.4741,0.8044,0.3675,47.286
233.7755,66.2347,80.9528,23.5308,47.8114,3.0477,66.9432,3.9830,0.1149,0.0484,46.593
244.1286,20.0541,116.2229,14.4742,85.7451,1.3957,277.4990,6.3591,0.0368,0.0159,49.524
265.4588,40.0311,63.4659,36.9216,28.2078,2.1890,156.9282,27.9777,0.5633,0.2764,57.642
247.6807,30.6160,50.3572,29.7594,11.0216,3.0868,335.9882,39.5262,2.7809,1.3539,82.064
207.0828,50.6456,95.7687,11.2777,44.4687,3.6430,97.9953,30.9384,0.0674,0.0321,79.535
253.0508,20.6780,88.5018,22.0832,89.4675,2.8842,102.9809,16.4684,0.1387,0.0629,70.556
208.6688,28.0372,97.7201,26.8664,52.2435,3.8897,160.0763,5.5932,0.0439,0.0194,53.765
260.7593,82.3176,92.1428,35.1325,82.4246,1.9049,231.2122,20.3809,0.0478,0.0226,39.527
205.4569,91.8330,115.9204,23.8364,22.4018,2.4987,257.8754,21.1315,0.0962,0.0422,34.485
286.0814,65.4704,62.8871,29.8541,93.8999,3.8634,319.6285,0.6676,1.6389,0.7048,60.473
203.9827,24.8375,101.0361,24.2115,79.1428,2.5031,195.4012,28.0724,0.0524,0.0248,57.152
230.9907,60.9044,48.2878,33.8579,69.0029,2.1722,272.0030,33.3811,1.5696,0.7666,47.239
269.8676,78.3967,106.1821,9.8530,19.4834,2.3035,208.6801,24.3533,0.1022,0.0504,71.373
270.7901,76.1200,44.7449,38.4965,67.5306,3.3490,302.2679,6.6785,2.0435,0.9295,48.773
226.8764,90.9132,99.4287,8.9394,98.7819,1.8159,72.3552,28.4929,0.0332,0.0160,47.348
249.9610,65.3509,63.0919,16.1637,21.3195,2.7217,302.9724,9.1362,1.6012,0.7055,56.220
286.2928,39.5641,72.4588,20.2553,26.5093,3.7935,350.1198,22.1146,2.2035,0.9902,98.627
241.6257,77.6230,54.4132,10.4924,51.0089,2.5061,365.6794,7.1738,2.7740,1.2354,48.490
295.4079,25.5141,71.8585,17.0338,102.9331,1.9819,243.5820,0.3188,0.5789,0.2478,60.607
246.3927,67.3353,74.4025,32.7236,31.4965,3.7013,316.1688,9.8051,1.0434,0.4639,52.032
