clearance_mm,q_W,T_coolant_C,emissivity,mount_conductance_W_K,T_peak_C,T_wall_C,q_gap_W,q_rad_W,q_mount_W
0.50,150.0,30.0,0.80,0.50,63.5063,46.6559,121.3235,11.9233,16.7532
0.50,150.0,30.0,0.80,1.10,59.5744,44.6835,107.2145,10.2536,32.5319
0.50,150.0,45.0,0.20,0.50,79.4942,61.5941,128.8803,3.8726,17.2471
0.50,150.0,45.0,0.20,1.10,75.3214,59.5808,113.3326,3.3138,33.3536
0.50,150.0,45.0,0.50,0.50,78.8648,61.6334,124.0657,9.0019,16.9324
0.50,150.0,45.0,0.50,1.10,74.8458,59.6462,109.4368,7.7329,32.8303
0.50,150.0,45.0,0.80,0.50,78.3177,61.6676,119.8808,13.4603,16.6589
0.50,150.0,45.0,0.80,1.10,74.4293,59.7035,106.0263,11.6014,32.3723
0.50,150.0,60.0,0.20,0.50,94.4314,76.5980,128.4000,4.3843,17.2157
0.50,150.0,60.0,0.20,1.10,90.2737,74.5874,112.9416,3.7574,33.3011
0.50,150.0,60.0,0.50,0.50,93.7252,76.6422,122.9979,10.1395,16.8626
0.50,150.0,60.0,0.50,1.10,89.7388,74.6609,108.5607,8.7266,32.7127
0.50,150.0,60.0,0.80,0.50,93.1172,76.6802,118.3463,15.0951,16.5586
0.50,150.0,60.0,0.80,1.10,89.2746,74.7247,104.7592,13.0387,32.2021
0.50,150.0,75.0,0.20,0.50,109.3637,91.6023,127.8819,4.9362,17.1818
0.50,150.0,75.0,0.20,1.10,105.2221,89.5945,112.5193,4.2364,33.2443
0.50,150.0,75.0,0.50,0.50,108.5762,91.6515,121.8582,11.3536,16.7881
0.50,150.0,75.0,0.50,1.10,104.6244,89.6766,107.6237,9.7894,32.5868
0.50,150.0,75.0,0.80,0.50,107.9050,91.6934,116.7232,16.8243,16.4525
0.50,150.0,75.0,0.80,1.10,104.1105,89.7473,103.4152,14.5632,32.0216
0.50,180.0,30.0,0.20,0.50,71.4393,49.9100,155.0109,4.2695,20.7197
0.50,180.0,30.0,0.20,1.10,66.4231,47.4918,136.3051,3.6294,40.0654
0.50,180.0,30.0,0.50,0.50,70.7422,49.9536,149.6779,9.9510,20.3711
0.50,180.0,30.0,0.50,1.10,65.8996,47.5638,132.0176,8.4928,39.4895
0.50,180.0,30.0,0.80,0.50,70.1332,49.9917,145.0188,14.9146,20.0666
0.50,180.0,30.0,0.80,1.10,65.4389,47.6271,128.2448,12.7724,38.9828
0.50,180.0,45.0,0.20,0.50,86.3678,64.9145,154.4639,4.8522,20.6839
0.50,180.0,45.0,0.20,1.10,81.3690,62.4993,135.8618,4.1324,40.0059
0.50,180.0,45.0,0.50,0.50,85.5823,64.9636,148.4549,11.2539,20.2912
0.50,180.0,45.0,0.50,1.10,80.7776,62.5806,131.0184,9.6262,39.3553
0.50,180.0,45.0,0.80,0.50,84.9023,65.0061,143.2526,16.7962,19.9512
0.50,180.0,45.0,0.80,1.10,80.2615,62.6515,126.7920,14.4203,38.7877
0.50,180.0,60.0,0.20,0.50,101.2905,79.9193,153.8724,5.4824,20.6453
0.50,180.0,60.0,0.20,1.10,96.3103,77.5073,135.3815,4.6771,39.9413
0.50,180.0,60.0,0.50,0.50,100.4112,79.9743,147.1456,12.6488,20.2056
0.50,180.0,60.0,0.50,1.10,95.6467,77.5986,129.9462,10.8425,39.2113
0.50,180.0,60.0,0.80,0.50,99.6572,80.0214,141.3779,18.7935,19.8286
0.50,180.0,60.0,0.80,1.10,95.0727,77.6775,125.2455,16.1745,38.5800
0.50,180.0,75.0,0.20,0.50,116.2072,94.9245,153.2354,6.1610,20.6036
0.50,180.0,75.0,0.20,1.10,111.2471,92.5160,134.8635,5.2647,39.8718
0.50,180.0,75.0,0.50,0.50,115.2288,94.9857,145.7507,14.1349,20.1144
0.50,180.0,75.0,0.50,1.10,110.5068,92.6178,128.8010,12.1414,39.0575
0.50,180.0,75.0,0.80,0.50,114.3985,95.0376,139.3986,20.9021,19.6993
0.50,180.0,75.0,0.80,1.10,109.8728,92.7050,123.6079,18.0320,38.3600
0.50,210.0,30.0,0.20,0.50,78.3180,53.2301,180.6326,5.2084,24.1590
0.50,210.0,30.0,0.20,1.10,72.4751,50.4097,158.8711,4.4063,46.7226
0.50,210.0,30.0,0.50,0.50,77.4707,53.2831,174.1511,12.1135,23.7354
0.50,210.0,30.0,0.50,1.10,71.8414,50.4968,153.6811,10.2933,46.0255
0.50,210.0,30.0,0.80,0.50,76.7334,53.3292,168.5106,18.1227,23.3667
0.50,210.0,30.0,0.80,1.10,71.2855,50.5732,149.1280,15.4580,45.4140
0.50,210.0,45.0,0.20,0.50,93.2323,68.2355,179.9771,5.9067,24.1162
0.50,210.0,45.0,0.20,1.10,87.4104,65.4186,158.3412,5.0074,46.6514
0.50,210.0,45.0,0.50,0.50,92.2799,68.2950,172.6916,13.6684,23.6400
0.50,210.0,45.0,0.50,1.10,86.6961,65.5168,152.4908,11.6435,45.8657
0.50,210.0,45.0,0.80,0.50,91.4588,68.3463,166.4100,20.3606,23.2294
0.50,210.0,45.0,0.80,1.10,86.0748,65.6022,147.4022,17.4156,45.1822
0.50,210.0,60.0,0.20,0.50,108.1398,83.2413,179.2694,6.6607,24.0699
0.50,210.0,60.0,0.20,1.10,102.3404,80.4282,157.7680,5.6576,46.5745
0.50,210.0,60.0,0.50,0.50,107.0761,83.3077,171.1319,15.3301,23.5380
0.50,210.0,60.0,0.50,1.10,101.5403,80.5382,151.2154,13.0902,45.6944
0.50,210.0,60.0,0.80,0.50,106.1679,83.3645,164.1848,22.7313,23.0840
0.50,210.0,60.0,0.80,1.10,100.8508,80.6330,145.5681,19.4960,44.9359
0.50,210.0,75.0,0.20,0.50,123.0403,98.2475,178.5083,7.4715,24.0202
0.50,210.0,75.0,0.20,1.10,117.2650,95.4386,157.1505,6.3580,46.4915
0.50,210.0,75.0,0.50,0.50,121.8592,98.3213,169.4729,17.0975,23.4296
0.50,210.0,75.0,0.50,1.10,116.3743,95.5610,149.8554,14.6329,45.5117
0.50,210.0,75.0,0.80,0.50,120.8614,98.3837,161.8398,25.2295,22.9307
0.50,210.0,75.0,0.80,1.10,115.6141,95.6656,143.6292,21.6953,44.6755
0.50,240.0,30.0,0.20,0.50,85.1878,56.5508,206.1865,6.2196,27.5939
0.50,240.0,30.0,0.20,1.10,78.5213,53.3283,181.3893,5.2372,53.3734
0.50,240.0,30.0,0.50,0.50,84.1799,56.6138,198.4764,14.4336,27.0900
0.50,240.0,30.0,0.50,1.10,77.7703,53.4316,175.2391,12.2136,52.5474
0.50,240.0,30.0,0.80,0.50,83.3063,56.6684,191.7933,21.5535,26.6532
0.50,240.0,30.0,0.80,1.10,77.1136,53.5219,169.8604,18.3146,51.8250
0.50,240.0,45.0,0.20,0.50,100.0872,71.5570,205.4174,7.0390,27.5436
0.50,240.0,45.0,0.20,1.10,93.4456,68.3387,180.7691,5.9407,53.2901
0.50,240.0,45.0,0.50,0.50,98.9570,71.6277,196.7712,16.2502,26.9785
0.50,240.0,45.0,0.50,1.10,92.6008,68.4549,173.8507,13.7884,52.3609
0.50,240.0,45.0,0.80,0.50,97.9866,71.6883,189.3478,24.1589,26.4933
0.50,240.0,45.0,0.80,1.10,91.8685,68.5556,167.8531,20.5915,51.5554
0.50,240.0,60.0,0.20,0.50,114.9789,86.5638,204.5882,7.9223,27.4894
0.50,240.0,60.0,0.20,1.10,108.3638,83.3500,180.0992,6.7007,53.2001
0.50,240.0,60.0,0.50,0.50,113.7192,86.6425,194.9522,18.1882,26.8596
0.50,240.0,60.0,0.50,1.10,107.4195,83.4798,172.3653,15.4733,52.1614
0.50,240.0,60.0,0.80,0.50,112.6486,86.7095,186.7622,26.9135,26.3243
0.50,240.0,60.0,0.80,1.10,106.6085,83.5913,165.7235,23.0072,51.2693
0.50,240.0,75.0,0.20,0.50,129.8625,101.5711,203.6979,8.8709,27.4312
0.50,240.0,75.0,0.20,1.10,123.2757,98.3621,179.3784,7.5183,53.1033
0.50,240.0,75.0,0.50,0.50,128.4667,101.6583,193.0206,20.2460,26.7334
0.50,240.0,75.0,0.50,1.10,122.2263,98.5064,170.7838,17.2672,51.9490
0.50,240.0,75.0,0.80,0.50,127.2931,101.7317,184.0424,29.8111,26.1466
0.50,240.0,75.0,0.80,1.10,121.3340,98.6291,163.4758,25.5567,50.9674
0.80,120.0,30.0,0.20,0.50,64.7304,42.8293,98.5548,4.0799,17.3652
0.80,120.0,30.0,0.20,1.10,59.6092,40.9287,84.0619,3.3681,32.5701
0.80,120.0,30.0,0.50,0.50,63.7311,42.8918,93.7769,9.3576,16.8656
0.80,120.0,30.0,0.50,1.10,58.8998,41.0263,80.4308,7.7794,31.7898
0.80,120.0,30.0,0.80,0.50,62.8834,42.9448,89.7237,13.8347,16.4417
0.80,120.0,30.0,0.80,1.10,58.2904,41.1101,77.3114,11.5691,31.1194
0.80,120.0,45.0,0.20,0.50,79.6242,57.8360,98.0468,4.6411,17.3121
0.80,120.0,45.0,0.20,1.10,74.5333,55.9392,83.6738,3.8396,32.4867
0.80,120.0,45.0,0.50,0.50,78.5013,57.9062,92.6783,10.5710,16.7507
0.80,120.0,45.0,0.50,1.10,73.7335,56.0491,79.5798,8.8133,31.6069
0.80,120.0,45.0,0.80,0.50,77.5607,57.9650,88.1811,15.5386,16.2804
0.80,120.0,45.0,0.80,1.10,73.0542,56.1425,76.1027,13.0376,30.8597
0.80,120.0,60.0,0.20,0.50,94.5095,72.8432,97.4985,5.2468,17.2547
0.80,120.0,60.0,0.20,1.10,89.4513,70.9504,83.2540,4.3496,32.3965
0.80,120.0,60.0,0.50,0.50,93.2568,72.9214,91.5092,11.8624,16.6284
0.80,120.0,60.0,0.50,1.10,88.5560,71.0736,78.6709,9.9175,31.4116
0.80,120.0,60.0,0.80,0.50,92.2214,72.9862,86.5584,17.3309,16.1107
0.80,120.0,60.0,0.80,1.10,87.8047,71.1768,74.8255,14.5893,30.5852
0.80,120.0,75.0,0.20,0.50,109.3863,87.8509,96.9093,5.8976,17.1931
0.80,120.0,75.0,0.20,1.10,104.3630,85.9626,82.8019,4.8988,32.2993
0.80,120.0,75.0,0.50,0.50,107.9980,87.9376,90.2718,13.2292,16.4990
0.80,120.0,75.0,0.50,1.10,103.3674,86.0995,77.7054,11.0905,31.2041
0.80,120.0,75.0,0.80,0.50,106.8665,88.0083,84.8618,19.2049,15.9333
0.80,120.0,75.0,0.80,1.10,102.5427,86.2129,73.4840,16.2190,30.2969
0.80,150.0,30.0,0.20,0.50,73.3611,46.0399,122.9452,5.3742,21.6805
0.80,150.0,30.0,0.20,1.10,66.9800,43.6653,104.9163,4.4057,40.6780
0.80,150.0,30.0,0.50,0.50,72.0536,46.1217,116.6936,12.2796,21.0268
0.80,150.0,30.0,0.50,1.10,66.0566,43.7922,100.1899,10.1478,39.6623
0.80,150.0,30.0,0.80,0.50,70.9517,46.1905,111.4252,18.0990,20.4758
0.80,150.0,30.0,0.80,1.10,65.2673,43.9007,96.1496,15.0564,38.7940
0.80,150.0,45.0,0.20,0.50,88.2242,61.0485,122.2908,6.0970,21.6121
0.80,150.0,45.0,0.20,1.10,81.8827,58.6786,104.4182,5.0109,40.5709
0.80,150.0,45.0,0.50,0.50,86.7597,61.1400,115.2886,13.8315,20.8799
0.80,150.0,45.0,0.50,1.10,80.8444,58.8214,99.1033,11.4679,39.4288
0.80,150.0,45.0,0.80,0.50,85.5413,61.2162,109.4633,20.2660,20.2707
0.80,150.0,45.0,0.80,1.10,79.9671,58.9420,94.6129,16.9233,38.4638
0.80,150.0,60.0,0.20,0.50,103.0768,76.0577,121.5859,6.8757,21.5384
0.80,150.0,60.0,0.20,1.10,96.7776,73.6931,103.8802,5.6645,40.4553
0.80,150.0,60.0,0.50,0.50,101.4477,76.1595,113.7969,15.4792,20.7239
0.80,150.0,60.0,0.50,1.10,95.6181,73.8525,97.9451,12.8749,39.1799
0.80,150.0,60.0,0.80,0.50,100.1108,76.2431,107.4050,22.5396,20.0554
0.80,150.0,60.0,0.80,1.10,94.6506,73.9855,92.9927,18.8917,38.1156
0.80,150.0,75.0,0.20,0.50,117.9187,91.0676,120.8300,7.7107,21.4593
0.80,150.0,75.0,0.20,1.10,111.6646,88.7086,103.3018,6.3672,40.3310
0.80,150.0,75.0,0.50,0.50,116.1183,91.1801,112.2217,17.2191,20.5591
0.80,150.0,75.0,0.50,1.10,110.3782,88.8855,96.7172,14.3667,38.9160
0.80,150.0,75.0,0.80,0.50,114.6618,91.2711,105.2582,24.9109,19.8309
0.80,150.0,75.0,0.80,1.10,109.3188,89.0312,91.2946,20.9547,37.7507
0.80,180.0,30.0,0.20,0.50,81.9690,49.2519,147.2266,6.7889,25.9845
0.80,180.0,30.0,0.20,1.10,74.3372,46.4036,125.7008,5.5283,48.7709
0.80,180.0,30.0,0.50,0.50,80.3287,49.3545,139.3841,15.4515,25.1644
0.80,180.0,30.0,0.50,1.10,73.1844,46.5621,119.8001,12.6971,47.5028
0.80,180.0,30.0,0.80,0.50,78.9557,49.4403,132.8196,22.7025,24.4779
0.80,180.0,30.0,0.80,1.10,72.2039,46.6970,114.7814,18.7943,46.4243
0.80,180.0,45.0,0.20,0.50,96.7999,64.2625,146.4181,7.6820,25.8999
0.80,180.0,45.0,0.20,1.10,89.2173,61.4201,125.0873,6.2736,48.6390
0.80,180.0,45.0,0.50,0.50,94.9683,64.3770,137.6609,17.3550,24.9841
0.80,180.0,45.0,0.50,1.10,87.9244,61.5979,118.4692,14.3140,47.2168
0.80,180.0,45.0,0.80,0.50,93.4553,64.4715,130.4270,25.3453,24.2277
0.80,180.0,45.0,0.80,1.10,86.8378,61.7473,112.9074,21.0710,46.0216
0.80,180.0,60.0,0.20,0.50,111.6181,79.2739,145.5488,8.6421,25.8090
0.80,180.0,60.0,0.20,1.10,104.0881,76.4379,124.4259,7.0773,48.4969
0.80,180.0,60.0,0.50,0.50,109.5865,79.4008,135.8356,19.3712,24.7933
0.80,180.0,60.0,0.50,1.10,102.6478,76.6359,117.0534,16.0341,46.9126
0.80,180.0,60.0,0.80,0.50,107.9316,79.5043,127.9231,28.1110,23.9658
0.80,180.0,60.0,0.80,1.10,101.4527,76.8003,110.9359,23.4662,45.5979
0.80,180.0,75.0,0.20,0.50,126.4234,94.2860,144.6184,9.6699,25.7117
0.80,180.0,75.0,0.20,1.10,118.9494,91.4570,123.7158,7.9399,48.3443
0.80,180.0,75.0,0.50,0.50,124.1843,94.4260,133.9123,21.4955,24.5921
0.80,180.0,75.0,0.50,1.10,117.3551,91.6762,115.5551,17.8543,46.5906
0.80,180.0,75.0,0.80,0.50,122.3867,94.5383,125.3178,30.9888,23.6934
0.80,180.0,75.0,0.80,1.10,116.0498,91.8556,108.8738,25.9714,45.1548
0.80,210.0,30.0,0.20,0.50,90.5530,52.4654,171.3941,8.3294,30.2765
0.80,210.0,30.0,0.20,1.10,81.6801,49.1440,146.4125,6.7394,56.8481
0.80,210.0,30.0,0.50,0.50,88.5550,52.5903,161.8413,18.8812,29.2775
0.80,210.0,30.0,0.50,1.10,80.2821,49.3362,139.2567,15.4329,55.3104
0.80,210.0,30.0,0.80,0.50,86.8942,52.6941,153.9004,27.6525,28.4471
0.80,210.0,30.0,0.80,1.10,79.0993,49.4988,133.2022,22.7886,54.0093
0.80,210.0,45.0,0.20,0.50,105.3501,67.4781,170.4237,9.4013,30.1750
0.80,210.0,45.0,0.20,1.10,96.5367,64.1637,145.6784,7.6313,56.6903
0.80,210.0,45.0,0.50,0.50,103.1257,67.6171,159.7885,21.1487,29.0628
0.80,210.0,45.0,0.50,1.10,94.9727,64.3787,137.6730,17.3570,54.9700
0.80,210.0,45.0,0.80,0.50,101.3015,67.7312,151.0667,30.7826,28.1508
0.80,210.0,45.0,0.80,1.10,93.6656,64.5585,130.9821,25.4857,53.5322
0.80,210.0,60.0,0.20,0.50,120.1323,82.4917,169.3824,10.5515,30.0661
0.80,210.0,60.0,0.20,1.10,111.3823,79.1849,144.8881,8.5914,56.5205
0.80,210.0,60.0,0.50,0.50,117.6720,82.6455,157.6191,23.5449,28.8360
0.80,210.0,60.0,0.50,1.10,109.6442,79.4239,135.9915,19.3999,54.6087
0.80,210.0,60.0,0.80,0.50,115.6828,82.7698,148.1084,34.0502,27.8414
0.80,210.0,60.0,0.80,1.10,108.2103,79.6211,128.6514,28.3172,53.0313
0.80,210.0,75.0,0.20,0.50,134.8996,97.5063,168.2698,11.7804,29.9498
0.80,210.0,75.0,0.20,1.10,126.2168,94.2077,144.0411,9.6205,56.3385
0.80,210.0,75.0,0.50,0.50,132.1949,97.6753,155.3382,26.0643,28.5975
0.80,210.0,75.0,0.50,1.10,124.2973,94.4716,134.2153,21.5577,54.2270
0.80,210.0,75.0,0.80,0.50,130.0405,97.8100,145.0373,37.4425,27.5202
0.80,210.0,75.0,0.80,1.10,122.7350,94.6864,126.2185,31.2730,52.5085
0.80,240.0,30.0,0.20,0.50,99.1122,55.6805,195.4429,10.0010,34.5561
0.80,240.0,30.0,0.20,1.10,89.0083,51.8864,167.0486,8.0423,64.9091
0.80,240.0,30.0,0.50,0.50,96.7311,55.8293,184.0582,22.5762,33.3656
0.80,240.0,30.0,0.50,1.10,87.3490,52.1145,158.5554,18.3607,63.0839
0.80,240.0,30.0,0.80,0.50,94.7658,55.9521,174.6614,32.9557,32.3829
0.80,240.0,30.0,0.80,1.10,85.9526,52.3065,151.4073,27.0448,61.5478
0.80,240.0,45.0,0.20,0.50,113.8738,70.6954,194.3029,11.2602,34.4369
0.80,240.0,45.0,0.20,1.10,103.8402,66.9095,166.1885,9.0873,64.7243
0.80,240.0,45.0,0.50,0.50,111.2306,70.8606,181.6652,25.2195,33.1153
0.80,240.0,45.0,0.50,1.10,101.9886,67.1641,156.7106,20.6019,62.6875
0.80,240.0,45.0,0.80,0.50,109.0789,70.9951,171.3772,36.5833,32.0394
0.80,240.0,45.0,0.80,1.10,100.4497,67.3757,148.8330,30.1724,60.9946
0.80,240.0,60.0,0.20,0.50,128.6184,85.7113,193.0819,12.6089,34.3092
0.80,240.0,60.0,0.20,1.10,118.6596,81.9343,165.2641,10.2103,64.5256
0.80,240.0,60.0,0.50,0.50,125.7029,85.8936,179.1418,28.0067,32.8514
0.80,240.0,60.0,0.50,1.10,116.6067,82.2166,154.7556,22.9770,62.2674
0.80,240.0,60.0,0.80,0.50,123.3635,86.0398,167.9568,40.3614,31.6818
0.80,240.0,60.0,0.80,1.10,114.9228,82.4481,146.1359,33.4490,60.4150
0.80,240.0,75.0,0.20,0.50,143.3460,100.7284,191.7795,14.0474,34.1730
0.80,240.0,75.0,0.20,1.10,133.4664,96.9609,164.2748,11.4122,64.3130
0.80,240.0,75.0,0.50,0.50,140.1491,100.9282,176.4943,30.9311,32.5746
0.80,240.0,75.0,0.50,1.10,131.2040,97.2719,152.6942,25.4814,61.8244
0.80,240.0,75.0,0.80,0.50,137.6225,101.0861,164.4138,44.2750,31.3112
0.80,240.0,75.0,0.80,1.10,129.3738,97.5236,143.3259,36.8629,59.8112
1.10,120.0,30.0,0.20,0.50,71.1315,42.4293,93.9345,5.4997,20.5657
1.10,120.0,30.0,0.20,1.10,64.1529,40.3040,78.0510,4.3808,37.5682
1.10,120.0,30.0,0.50,0.50,69.4043,42.5372,87.9284,12.3694,19.7021
1.10,120.0,30.0,0.50,1.10,62.9935,40.4634,73.7350,9.9722,36.2929
1.10,120.0,30.0,0.80,0.50,67.9888,42.6257,83.0067,17.9989,18.9944
1.10,120.0,30.0,0.80,1.10,62.0233,40.5968,70.1233,14.6510,35.2257
1.10,120.0,45.0,0.20,0.50,85.9465,57.4408,93.2912,6.2356,20.4732
1.10,120.0,45.0,0.20,1.10,79.0282,55.3211,77.5868,4.9822,37.4310
1.10,120.0,45.0,0.50,0.50,84.0196,57.5613,86.5908,13.8994,19.5098
1.10,120.0,45.0,0.50,1.10,77.7281,55.4999,72.7468,11.2523,36.0009
1.10,120.0,45.0,0.80,0.50,82.4653,57.6584,81.1863,20.0810,18.7327
1.10,120.0,45.0,0.80,1.10,76.6554,55.6474,68.7536,16.4255,34.8210
1.10,120.0,60.0,0.20,0.50,100.7477,72.4533,92.6000,7.0261,20.3739
1.10,120.0,60.0,0.20,1.10,93.8938,70.3396,77.0864,5.6305,37.2832
1.10,120.0,60.0,0.50,0.50,98.6137,72.5866,85.1795,15.5137,19.3069
1.10,120.0,60.0,0.50,1.10,92.4465,70.5386,71.6985,12.6104,35.6911
1.10,120.0,60.0,0.80,0.50,96.9208,72.6925,79.2927,22.2470,18.4604
1.10,120.0,60.0,0.80,1.10,91.2701,70.7004,67.3192,18.2836,34.3971
1.10,120.0,75.0,0.20,0.50,115.5352,87.4665,91.8611,7.8713,20.2676
1.10,120.0,75.0,0.20,1.10,108.7496,85.3594,76.5495,6.3260,37.1245
1.10,120.0,75.0,0.50,0.50,113.1879,87.6133,83.6989,17.2071,19.0940
1.10,120.0,75.0,0.50,1.10,107.1495,85.5795,70.5927,14.0429,35.3644
1.10,120.0,75.0,0.80,0.50,111.3578,87.7276,77.3352,24.4859,18.1789
1.10,120.0,75.0,0.80,1.10,105.8692,85.7555,65.8267,20.2172,33.9561
1.10,150.0,30.0,0.20,0.50,81.3117,45.5430,117.0610,7.2831,25.6558
1.10,150.0,30.0,0.20,1.10,72.6340,42.8878,97.3511,5.7515,46.8974
1.10,150.0,30.0,0.50,0.50,79.0480,45.6845,109.1896,16.2864,24.5240
1.10,150.0,30.0,0.50,1.10,71.1228,43.0956,91.7253,13.0397,45.2351
1.10,150.0,30.0,0.80,0.50,77.2107,45.7993,102.8010,23.5936,23.6054
1.10,150.0,30.0,0.80,1.10,69.8669,43.2683,87.0500,19.0964,43.8536
1.10,150.0,45.0,0.20,0.50,96.0731,60.5579,116.2314,8.2320,25.5365
1.10,150.0,45.0,0.20,1.10,87.4738,57.9099,96.7547,6.5242,46.7212
1.10,150.0,45.0,0.50,0.50,93.5571,60.7152,107.4828,18.2387,24.2786
1.10,150.0,45.0,0.50,1.10,85.7843,58.1422,90.4651,14.6722,44.8627
1.10,150.0,45.0,0.80,0.50,91.5479,60.8408,100.4961,26.2300,23.2739
1.10,150.0,45.0,0.80,1.10,84.4004,58.3324,85.3134,21.3461,43.3405
1.10,150.0,60.0,0.20,0.50,110.8174,75.5739,115.3423,9.2490,25.4087
1.10,150.0,60.0,0.20,1.10,102.3014,72.9336,96.1130,7.3555,46.5315
1.10,150.0,60.0,0.50,0.50,108.0407,75.7475,105.6870,20.2926,24.0204
1.10,150.0,60.0,0.50,1.10,100.4260,73.1914,89.1314,16.3999,44.4686
1.10,150.0,60.0,0.80,0.50,105.8604,75.8837,98.1056,28.9642,22.9302
1.10,150.0,60.0,0.80,1.10,98.9132,73.3994,83.4995,23.6960,42.8045
1.10,150.0,75.0,0.20,0.50,125.5446,90.5910,114.3938,10.3338,25.2723
1.10,150.0,75.0,0.20,1.10,117.1168,87.9589,95.4258,8.2457,46.3285
1.10,150.0,75.0,0.50,0.50,122.5004,90.7812,103.8082,22.4416,23.7502
1.10,150.0,75.0,0.50,1.10,115.0490,88.2433,87.7278,18.2184,44.0539
1.10,150.0,75.0,0.80,0.50,120.1518,90.9280,95.6413,31.7828,22.5759
1.10,150.0,75.0,0.80,1.10,113.4073,88.4690,81.6164,26.1355,42.2481
1.10,180.0,30.0,0.20,0.50,91.4465,48.6596,140.0300,9.2467,30.7233
1.10,180.0,30.0,0.20,1.10,81.0902,45.4751,116.5584,7.2424,56.1992
1.10,180.0,30.0,0.50,0.50,88.6034,48.8373,130.1438,20.5545,29.3017
1.10,180.0,30.0,0.50,1.10,79.2013,45.7348,109.5267,16.3518,54.1214
1.10,180.0,30.0,0.80,0.50,86.3185,48.9801,122.1984,29.6423,28.1592
1.10,180.0,30.0,0.80,1.10,77.6427,45.9491,103.7245,23.8685,52.4070
1.10,180.0,45.0,0.20,0.50,106.1516,63.6780,139.0043,10.4200,30.5758
1.10,180.0,45.0,0.20,1.10,95.8927,60.5023,115.8233,8.1947,55.9820
1.10,180.0,45.0,0.50,0.50,103.0030,63.8748,128.0560,22.9425,29.0015
1.10,180.0,45.0,0.50,1.10,93.7873,60.7917,107.9855,18.3484,53.6661
1.10,180.0,45.0,0.80,0.50,100.5140,64.0304,119.4008,32.8422,27.7570
1.10,180.0,45.0,0.80,1.10,92.0755,61.0271,101.6130,26.6039,51.7831
1.10,180.0,60.0,0.20,0.50,120.8361,78.6977,137.9075,11.6744,30.4181
1.10,180.0,60.0,0.20,1.10,110.6807,75.5314,115.0339,9.2174,55.7487
1.10,180.0,60.0,0.50,0.50,117.3731,78.9142,125.8654,25.4480,28.6865
1.10,180.0,60.0,0.50,1.10,108.3502,75.8519,106.3581,20.4567,53.1852
1.10,180.0,60.0,0.80,0.50,114.6819,79.0824,116.5076,36.1515,27.3410
1.10,180.0,60.0,0.80,1.10,106.4845,76.1084,99.4128,29.4542,51.1330
1.10,180.0,75.0,0.20,0.50,135.5004,93.7187,136.7400,13.0098,30.2502
1.10,180.0,75.0,0.20,1.10,125.4540,90.5626,114.1901,10.3105,55.4994
