length_mm,width_mm,thickness_mm,conductivity_W_mK,h_W_m2K,T_ambient_C,q_W,peak_temp_C,hot_spot_x_mm
63.8521,11.2213,6.4072,195.3032,213.1857,-12.7172,52.1893,65.948,59.309
148.3802,34.7189,6.3917,265.8626,6.3585,55.0964,13.6769,81.311,133.262
59.9007,57.8983,11.3232,29.5852,66.0536,64.8336,63.9402,149.176,53.967
197.9417,39.7726,19.1007,357.6561,155.0998,51.9274,200.0000,214.371,0.000
182.5254,47.1828,10.5441,111.0847,65.5737,43.7661,200.0000,198.201,0.000
76.6816,13.8742,7.1431,115.9689,83.3288,34.0152,15.1193,68.701,74.153
150.0913,13.2114,9.3368,221.6183,106.8647,0.6834,79.4406,100.719,140.921
148.2389,52.8366,15.7807,158.3486,6.4445,15.1759,22.7021,45.027,128.470
101.2336,47.3758,11.8304,245.2685,59.0320,1.9422,79.8274,77.847,92.552
145.4541,30.2158,4.9708,192.2822,36.2688,42.2257,13.0397,64.902,137.603
34.6073,42.1375,4.4426,190.0624,17.3197,17.9104,3.9208,30.000,32.457
94.4515,47.6005,16.9746,108.3859,25.0670,-18.0617,40.5125,30.000,85.180
140.5245,49.0617,13.7316,304.1509,237.6549,-0.0639,142.0643,114.437,0.637
143.8080,38.1985,5.9234,282.7913,192.8900,-3.2211,200.0000,156.753,0.000
169.2812,58.2360,3.9458,20.0146,81.4295,47.7347,200.0000,202.687,1.437
42.9194,44.5307,13.2904,49.7415,194.2578,65.0293,138.9142,197.168,42.919
163.0480,27.3602,9.7108,154.5226,128.9604,14.1231,200.0000,174.952,0.000
193.3339,41.7793,16.9167,285.8504,111.6944,53.3795,200.0000,212.465,2.704
121.4894,34.1749,9.8403,295.1002,70.7569,65.1713,142.1430,209.575,113.927
71.4568,33.2354,12.9860,157.8058,12.0315,65.0953,5.1301,71.667,65.353
87.8576,54.0160,14.6213,117.7447,7.4870,74.8063,4.1778,79.863,75.468
158.8880,44.5305,13.6263,201.4203,199.2686,-10.6947,200.0000,148.082,0.000
128.8644,33.6630,11.5566,175.9465,187.7542,13.0791,200.0000,172.680,1.132
50.5115,19.6292,4.1520,218.9869,191.7365,-1.4850,32.7573,41.729,47.290
196.0232,36.2318,7.0940,49.2052,52.5588,2.7483,57.2198,67.884,186.364
76.6329,58.7147,11.9605,281.9928,35.9385,66.8461,47.9865,112.184,66.566
109.7975,32.0234,5.3185,30.0369,235.5606,27.7729,200.0000,186.499,0.344
137.0058,12.6805,4.6856,229.5074,79.4397,79.3918,19.8479,121.745,127.571
164.4259,21.2844,11.4063,185.7006,113.4666,66.0167,200.0000,227.088,157.692
133.6373,47.0045,19.0566,91.0373,56.7012,46.0428,59.9091,99.962,125.567
30.4549,32.5252,12.6886,123.5911,61.7117,50.6956,27.7986,78.656,27.477
187.0649,49.3914,13.2510,267.8614,233.7488,22.5139,200.0000,177.268,0.000
170.5273,13.5705,4.9866,129.9686,188.4946,36.9207,101.2076,123.990,163.612
148.9547,57.1338,11.0085,202.5801,24.7083,-16.0139,56.2202,44.141,137.234
45.5256,58.0956,17.0473,234.3277,237.9426,79.9572,200.0000,239.817,0.427
158.5657,33.5250,13.7272,367.2684,49.4648,38.5330,111.6373,143.085,145.638
89.1534,26.6654,14.0624,344.5159,85.8019,49.3674,52.8146,101.455,79.983
123.5164,32.7413,7.6613,136.0768,242.6953,20.4175,200.0000,186.258,0.000
122.2409,30.6624,5.3765,151.0940,190.3286,42.5409,200.0000,203.993,1.813
187.7044,31.9058,14.5685,57.3562,243.4210,40.8872,200.0000,203.642,1.592
123.8827,14.6605,19.8606,366.0427,118.0547,-8.2534,189.9390,151.237,115.166
116.5082,23.6712,17.0250,392.2954,64.7141,35.1265,63.1359,97.099,105.024
179.4855,53.2013,6.9725,318.1024,106.6609,73.4248,200.0000,234.824,0.000
80.7545,39.3469,19.9802,200.9597,41.4059,33.8581,37.9184,69.143,71.449
107.4086,26.0889,5.3957,282.0244,145.0904,3.3562,174.0386,172.730,101.914
149.8887,50.5704,8.9494,268.8386,206.0832,78.0818,200.0000,242.680,0.408
130.3307,53.4850,17.7354,181.7194,133.8580,25.6928,200.0000,180.767,1.172
56.2414,33.4745,19.4457,142.0389,174.7126,44.9837,199.5082,217.570,49.148
94.6016,25.8331,14.9369,306.1667,218.7338,-16.4101,72.5526,39.412,0.000
199.5624,47.3383,9.8115,48.3928,160.2682,67.2579,200.0000,224.277,0.000
37.8185,49.8072,7.2806,156.1880,40.6646,33.1166,24.1479,59.056,32.509
43.4246,53.5420,13.1548,103.9236,228.6431,-5.6882,155.7774,118.874,1.151
31.5976,50.2317,18.2218,274.2682,43.7040,24.1730,18.0850,39.112,26.222
102.1325,22.5049,17.2155,87.6946,99.2498,28.3208,60.4503,90.665,95.298
198.7576,24.7615,19.6030,266.7096,72.2477,36.5929,200.0000,196.550,0.000
133.0891,34.8364,18.2748,121.6157,200.7207,40.7065,200.0000,197.065,0.000
145.2200,46.0464,13.8653,336.9515,158.9208,70.3404,200.0000,228.780,1.508
128.5275,46.6180,3.6224,125.0931,188.1328,-2.4360,133.8989,97.758,0.000
120.2449,55.6743,16.9485,110.2183,207.0490,28.1848,200.0000,188.106,0.000
49.5789,58.1447,4.5336,386.9351,215.7344,52.4217,200.0000,219.497,0.000
92.1818,49.5341,2.2505,219.2632,116.4226,47.2828,175.3348,194.421,85.858
189.8496,15.4173,6.2088,19.7596,221.6375,36.1407,200.0000,196.399,0.533
170.0554,55.4694,7.4394,169.2354,39.2454,74.6262,73.7496,148.510,159.742
180.8341,16.7832,10.1656,271.4896,187.0693,74.5974,199.8931,234.399,0.000
100.5304,14.9511,10.8082,169.1652,238.1228,-16.7284,123.8225,77.604,96.505
175.4265,14.9677,14.3422,222.3417,244.5714,15.8674,200.0000,176.621,0.712
174.1656,32.7359,13.9298,260.2647,151.3008,-17.8643,200.0000,142.220,0.778
125.9783,13.4305,15.7728,90.7914,57.9081,66.9695,39.3816,139.419,121.396
30.4820,52.9203,4.6044,60.6969,66.4103,-2.5503,36.2390,51.777,27.780
164.2974,21.8966,7.8279,77.9560,17.8378,54.1718,22.6419,134.747,152.707
162.2629,35.6619,3.9630,206.4971,236.6268,-15.6635,200.0000,147.593,0.000
107.8672,58.2013,3.0949,196.8029,103.3962,48.6097,168.3820,184.425,0.000
43.7344,40.4149,3.1823,117.2562,160.1038,34.8356,56.0384,105.444,40.914
107.1316,40.2713,3.7852,283.6940,213.9342,45.0917,200.0000,204.585,0.000
106.7643,21.4247,8.1008,186.8646,106.9175,-10.4914,74.8785,77.449,99.142
55.9486,56.1493,3.2084,334.3910,27.8414,-10.3436,31.5053,30.000,47.981
129.6991,38.0793,7.9336,57.6702,91.6315,46.5341,188.7195,221.173,121.361
194.6278,40.0205,8.3296,235.3882,57.1210,45.6736,78.0556,117.022,185.288
92.4854,48.1303,12.3338,324.8163,212.0630,77.4547,200.0000,233.116,0.000
34.4632,56.4542,16.9303,114.3046,49.2019,50.2699,22.0765,70.561,30.375
177.8767,38.3161,9.2141,65.3311,160.1271,-16.9343,200.0000,143.973,1.528
87.9523,28.5027,14.9887,312.9659,144.0604,-11.5043,44.0797,30.000,82.583
144.5747,23.6051,13.9149,199.4081,113.3008,7.3167,200.0000,172.251,137.355
78.1519,43.9243,10.7594,270.1817,16.1273,19.5263,19.8319,40.976,68.699
65.9098,16.8617,6.5994,137.9677,6.8938,54.7014,1.3513,58.381,59.558
115.0446,51.6677,16.5116,38.1094,216.1323,-15.7698,113.7894,79.247,0.000
127.8791,38.6700,14.7710,172.9006,33.2175,-17.9143,41.6359,30.000,114.972
171.4444,55.9885,3.5863,339.3489,64.6125,38.8871,170.9936,173.344,0.787
87.7173,26.6534,5.0264,209.0885,32.9365,30.9952,36.9995,98.554,82.130
169.2213,50.7519,6.2528,67.1132,53.3316,40.2399,179.4851,209.626,159.873
161.3842,34.7059,15.5800,306.3521,114.9818,72.4154,200.0000,228.721,0.000
176.9220,41.3609,4.7172,36.6316,113.3410,10.2820,151.8804,135.178,0.617
82.7693,32.5957,3.0240,334.3617,23.7991,66.4250,27.0143,112.981,73.582
108.6610,37.7158,16.2527,359.3919,115.1848,60.9816,200.0000,219.007,1.535
55.6464,13.0937,3.8630,360.6595,89.1423,51.4316,21.1736,91.552,51.720
104.4189,31.9711,11.4095,71.9110,96.3487,8.2894,93.9787,104.329,100.428
164.1686,42.3653,3.1864,46.8573,171.2029,8.4147,200.0000,163.593,0.000
178.4575,26.6681,12.4893,65.1571,90.7061,76.7697,200.0000,232.584,1.266
189.4604,25.4791,8.7802,318.7482,204.2303,47.0116,200.0000,206.583,0.000
119.4869,42.3012,9.6213,151.1130,93.8364,-1.9737,82.3145,68.537,111.829
68.5123,16.8783,3.3890,339.3271,29.7795,57.0875,15.6034,92.446,61.337
87.2499,48.3154,4.3589,156.9207,44.7506,63.1345,72.6036,165.692,80.116
104.4045,30.5429,14.1745,102.6368,113.8287,8.4928,183.0486,165.736,98.920
82.6095,50.4312,10.4423,335.6942,95.1210,74.7130,200.0000,240.534,75.334
94.9183,36.3730,19.3928,328.5876,201.3085,-6.1601,165.1640,121.723,0.000
124.2719,15.1295,17.2261,341.9548,74.8404,56.3117,49.2496,109.415,114.154
104.3703,57.3207,5.9967,185.9399,90.6483,-17.3330,48.0660,30.000,97.939
199.0693,28.7456,2.5074,373.0221,210.5982,44.9961,200.0000,207.131,0.938
171.0595,44.8036,4.4983,285.1591,114.9074,-19.4749,87.3195,50.257,2.845
123.2967,46.3617,11.4999,53.3629,75.5849,10.1151,42.1383,46.489,118.096
107.7093,15.5429,18.2926,242.7282,9.0267,31.5376,4.9982,39.153,96.137
134.5176,22.0282,9.4982,269.1048,25.9754,77.4654,9.4426,92.133,122.393
198.0164,37.7076,9.0282,193.3527,160.7393,78.1039,200.0000,245.118,0.269
88.6164,46.6471,13.3086,310.8855,185.1208,13.2519,75.5840,71.064,0.000
59.7652,48.9571,10.3632,281.2018,159.7753,61.1498,47.5694,100.154,52.733
79.8852,12.1903,5.5905,26.3433,233.6759,31.5384,144.6720,244.551,75.584
158.0595,19.5552,8.4255,314.5282,217.1206,13.1925,103.0343,92.699,2.322
156.3623,54.7319,8.9596,389.7522,126.5698,29.7523,200.0000,182.616,0.000
153.6038,13.9464,12.8442,330.7131,138.6412,12.1211,51.5905,55.463,143.882
132.4457,31.3058,14.4158,147.1033,15.3770,67.0037,18.0622,95.160,119.767
196.6046,57.3952,3.3507,258.6299,94.0112,60.1096,200.0000,222.233,0.000
133.2874,49.0656,2.6264,36.2210,195.7363,16.6328,200.0000,171.660,0.000
145.4405,57.4412,8.6962,307.6029,145.6108,32.9460,200.0000,191.157,0.000
49.2863,46.7837,10.9828,160.9251,142.6098,6.1777,64.5213,58.833,46.524
78.5481,55.8239,10.8416,57.8286,213.9424,25.2043,200.0000,183.590,0.217
145.9280,52.2761,7.7526,145.4959,20.9101,34.2171,73.0307,141.100,132.946
187.6452,41.8850,16.2865,208.4147,34.7338,0.0980,42.7569,42.136,173.457
124.1836,28.4456,16.4659,225.1423,154.9273,-11.3785,153.3990,116.228,0.000
119.3683,48.4582,16.8201,38.7628,243.2330,44.2339,200.0000,202.671,0.000
179.2532,49.0131,13.5163,80.9656,241.7348,23.2618,200.0000,185.198,0.264
56.0126,18.2329,7.8079,286.6395,89.7757,74.0904,52.3885,141.202,49.679
137.9597,37.5421,4.2531,128.1016,135.7021,30.2573,97.0895,108.978,0.000
141.9846,46.0316,12.8925,338.5867,143.0864,62.5236,84.7335,132.639,0.605
128.0511,42.5565,15.8053,172.4688,161.5528,29.8038,200.0000,187.332,3.642
112.1006,50.2344,14.3298,125.9992,22.8784,-14.0087,37.5965,30.000,101.716
133.1322,25.6291,14.9305,296.3379,215.8905,77.5374,127.8741,177.580,1.400
84.2497,33.3236,6.8145,106.6884,28.7189,9.0212,20.0037,47.221,76.557
177.1023,17.9850,7.8938,235.2979,81.6152,56.3121,93.2681,164.239,167.437
82.4519,11.1588,19.0142,207.1233,241.8382,1.5144,116.7804,99.672,78.098
179.9977,42.7130,10.4706,219.3094,212.5572,23.0928,200.0000,182.136,0.000
92.2093,30.0291,12.2651,85.9156,140.5396,-12.6468,137.9095,108.316,85.886
198.1454,44.0199,4.1386,390.2823,101.5064,59.4897,182.9251,211.520,0.000
63.8398,35.4561,11.0014,27.6683,38.5739,13.3041,27.4596,75.221,60.059
117.6360,26.3983,13.0352,73.3758,247.7009,53.9319,199.5977,209.740,2.411
120.4978,45.4370,7.3962,328.1420,95.2477,47.3806,200.0000,203.205,110.937
153.3051,44.4022,2.4796,195.0902,241.9323,58.2904,200.0000,212.641,0.000
129.1990,18.5256,13.3225,251.6970,211.0859,-5.2224,200.0000,164.320,0.719
48.6822,10.9469,7.6465,69.0582,174.1726,21.0377,55.8870,153.688,44.429
155.0923,13.1141,4.4855,90.8633,84.6371,46.2227,59.9920,171.035,148.169
185.0611,27.1164,8.3772,311.0760,181.6265,44.3309,200.0000,202.318,0.000
71.9083,37.9043,6.0476,389.4351,77.9156,8.9004,34.1714,43.119,63.876
89.2965,56.6850,16.3173,116.6484,34.8592,47.6622,46.4218,97.452,80.437
192.2835,50.2308,7.2281,122.1758,179.9646,14.6364,200.0000,174.451,1.712
64.3516,36.9289,18.7944,281.5068,38.6319,41.5677,39.2032,77.765,58.816
120.2771,41.8972,2.9448,171.1875,180.7527,-9.9455,200.0000,155.109,0.062
187.9469,30.3454,18.8306,352.5759,121.9749,-0.0544,200.0000,157.453,1.949
184.3493,14.4730,12.3344,218.7094,182.1638,73.6669,200.0000,237.420,2.765
59.8841,55.9817,19.9491,164.8279,126.3691,73.6609,200.0000,243.329,52.790
31.5754,38.3981,3.9314,393.3676,74.7176,78.9099,26.6096,104.223,27.969
174.6802,33.4010,5.4706,53.9322,44.8111,25.8914,48.0022,102.910,168.153
164.4305,38.3891,15.6311,78.4430,214.7559,69.7043,200.0000,228.008,0.000
143.7735,19.2391,4.5310,136.2047,65.7715,6.0785,33.6034,71.657,132.595
81.3308,46.1441,2.2058,264.9365,174.7283,-13.7876,72.0934,43.373,1.433
115.4285,54.7559,14.6640,131.2814,33.7669,71.6130,46.5698,119.727,104.884
52.7067,17.6593,15.4592,246.2382,106.8822,34.9235,44.5743,79.729,46.885
67.1300,22.3733,15.5853,350.5227,25.0582,24.6748,20.9072,46.948,59.709
40.4989,37.3825,11.0988,233.3537,41.7138,12.8118,21.1087,33.631,36.139
129.1351,14.5471,11.1868,325.3899,116.0909,31.3248,90.1134,129.216,121.710
167.1756,46.1640,9.1271,328.4168,187.7221,37.8311,133.9731,144.465,0.451
199.0010,56.7291,3.2423,374.1725,12.7750,20.8867,53.6987,107.028,179.640
139.7997,31.0181,19.8714,159.1671,218.0570,70.6767,200.0000,228.261,0.000
121.6810,42.6767,8.2599,79.6047,136.6283,32.8843,200.0000,192.941,0.123
33.8650,24.9181,14.1230,222.3337,135.3237,62.3360,27.5627,88.039,31.045
189.3598,46.2512,4.0312,325.6965,107.7139,56.6053,200.0000,219.310,0.100
47.1524,11.6788,12.7601,284.2816,16.9257,54.0541,4.1517,59.547,42.093
176.8341,12.8222,11.0701,122.8127,204.8676,53.1517,156.8254,174.785,0.000
84.5131,25.0882,4.5787,267.4828,59.1555,10.0501,12.3346,30.448,76.922
184.9682,41.2997,9.6896,203.2921,243.2111,74.1586,200.0000,234.940,0.000
100.7752,17.4609,8.7763,304.2223,121.0121,64.9341,55.7630,127.288,91.366
185.5060,38.1193,19.4202,227.3418,37.8527,4.2859,55.4613,54.693,168.650
174.0127,14.6232,15.0425,84.2878,70.7731,47.3672,105.6252,184.672,164.437
159.4884,46.2153,12.0593,196.9637,218.0211,13.2964,200.0000,182.663,0.339
193.5532,15.8658,19.9923,196.7791,64.4353,40.4402,61.5876,103.796,181.572
161.8374,29.0331,11.6057,150.1112,69.0826,31.2817,113.1168,150.208,155.168
109.8134,51.9866,18.4579,154.5749,106.4129,36.2525,118.6077,132.260,0.925
188.9089,38.9571,9.5164,69.4404,85.8170,17.9840,200.0000,172.152,0.010
146.4239,22.8663,16.7887,386.9382,162.2151,29.0596,116.7276,122.838,0.000
152.4533,34.4158,18.5042,221.4334,162.2433,-14.1268,95.3611,64.786,0.000
143.5966,48.2169,9.4231,338.5924,61.7012,50.7170,32.4157,77.941,132.796
135.0320,43.3377,13.0973,198.4496,124.5243,-19.3388,200.0000,145.559,0.137
76.7059,58.8740,2.3086,327.1313,170.1381,60.6168,200.0000,222.025,0.420
55.3126,19.5966,11.4762,327.9336,70.4946,19.6896,24.4452,45.327,50.318
198.3396,21.2929,14.3127,340.6682,165.1653,65.8219,200.0000,229.073,0.812
123.9592,12.8057,2.1701,76.8396,127.4653,23.3910,84.7270,193.163,116.569
46.2115,36.4080,2.7659,92.4527,217.6886,68.7554,94.8508,177.977,43.897
187.3494,54.9656,12.1432,22.8317,232.5478,11.4485,200.0000,165.741,0.000
151.1609,29.9148,3.3849,73.3556,63.9157,63.4651,66.8804,166.465,142.766
158.4536,16.9975,19.7926,292.4238,127.6942,77.4323,59.8530,123.204,1.103
87.9008,48.4503,19.1875,164.7142,194.5210,-17.0374,189.5101,138.968,0.000
90.4879,57.0571,9.7733,275.0810,166.8646,-11.4306,200.0000,150.449,0.000
43.9465,17.7110,14.8102,257.2213,186.2155,11.6678,26.7440,37.943,39.721
91.1860,23.4883,4.3851,83.0828,114.9667,35.4740,62.8411,135.807,86.734
45.8209,39.9022,7.8397,160.2428,76.5026,18.7800,15.4278,36.400,39.357
196.2894,38.5980,5.0525,158.4855,39.0158,10.1131,82.6997,121.985,186.468
